time,COMBINED,speaker,talk
0,"SI got to remember, I'm writing a petition. Second hour should be (inaudible). ",S,"I got to remember, I'm writing a petition. Second hour should be (inaudible). "
4,"TOkay. The bells are kind of messed up so we will- I will probably just go ahead and dismiss you. We're now starting like five minutes late,",T,"Okay. The bells are kind of messed up so we will- I will probably just go ahead and dismiss you. We're now starting like five minutes late,"
15,Tbecause they didn't get the bells working right.,T,because they didn't get the bells working right.
16,"TAll right, who is absent? Anybody?",T,"All right, who is absent? Anybody?"
19,SNI don't know.,SN,I don't know.
21,TYou don't know? Do you know who sits at your table normally?,T,You don't know? Do you know who sits at your table normally?
25,SN//He's missing. Who is he?,SN,//He's missing. Who is he?
26,SN//I don't know who is supposed to-,SN,//I don't know who is supposed to-
27,SNDevin is not here.,SN,Devin is not here.
28,SNNo. He's //here.,SN,No. He's //here.
29,T//Devin is gone.,T,//Devin is gone.
30,SHe's here.,S,He's here.
31,TRight. He's here.,T,Right. He's here.
35,"TJennifer, I'm gonna have you move to-",T,"Jennifer, I'm gonna have you move to-"
41,"TYeah, a table of three people, not the one that's got four. ",T,"Yeah, a table of three people, not the one that's got four. "
46,"TAll right, so nobody is absent? Everybody is here?",T,"All right, so nobody is absent? Everybody is here?"
49,SNYeah.,SN,Yeah.
52,TOkay. ,T,Okay. 
57,"TUm, I'm not going to return your papers today. I'll save that for tomorrow. We'll get right into what we're going to be talking about today. ",T,"Um, I'm not going to return your papers today. I'll save that for tomorrow. We'll get right into what we're going to be talking about today. "
66,TThere's just a couple of things that I needed to go over with you first that I'm not sure that you got it before. ,T,There's just a couple of things that I needed to go over with you first that I'm not sure that you got it before. 
76,TYes? Writing your homework books? Okay. ,T,Yes? Writing your homework books? Okay. 
84,TAll right. Open up your book. What? ,T,All right. Open up your book. What? 
88,SNI can't hear out of my ear.,SN,I can't hear out of my ear.
90,TWhat's wrong?,T,What's wrong?
91,SIt hurts.,S,It hurts.
93,TDid you ever go to the doctor?,T,Did you ever go to the doctor?
95,SYeah.,S,Yeah.
96,"SNMiss A, (inaudible).",SN,"Miss A, (inaudible)."
97,TWhat?,T,What?
98,SN(inaudible).,SN,(inaudible).
99,TOkay. Take these right here. Go. Bye. They must feel like they have the plague or something.,T,Okay. Take these right here. Go. Bye. They must feel like they have the plague or something.
108,TAll right. You ready?,T,All right. You ready?
110,SNYeah.,SN,Yeah.
