time,x,y
0.02,1049.67,442.14
0.52,1049.67,442.14
0.82,1049.67,443.26
0.9,1048.6,444.39
1.51,1048.6,444.39
2.52,1048.6,444.39
3.51,1048.6,444.39
4.5,1048.6,444.39
5.07,1048.6,445.52
5.08,1048.6,446.65
5.1,1048.6,447.78
5.12,1049.67,450.03
5.13,1049.67,452.29
5.15,1050.74,453.42
5.17,1050.74,455.68
5.19,1050.74,457.93
5.21,1050.74,460.19
5.23,1051.81,463.58
5.25,1051.81,465.83
5.27,1052.88,466.96
5.29,1052.88,468.09
5.3,1052.88,470.35
5.32,1052.88,471.48
5.34,1052.88,472.61
5.35,1052.88,473.73
5.37,1053.94,474.86
5.38,1053.94,475.99
5.4,1053.94,477.12
5.42,1053.94,478.25
5.44,1053.94,479.38
5.46,1053.94,480.51
5.48,1053.94,482.76
5.5,1053.94,483.89
5.52,1053.94,485.02
5.54,1055.01,487.28
5.57,1055.01,489.53
5.59,1055.01,490.66
5.6,1055.01,491.79
5.62,1055.01,494.05
5.63,1055.01,495.18
5.65,1055.01,496.3
5.67,1056.08,497.43
5.69,1056.08,499.69
5.71,1056.08,500.82
5.72,1056.08,501.95
5.75,1056.08,503.08
5.78,1056.08,505.33
5.8,1056.08,506.46
5.82,1056.08,507.59
5.84,1057.15,508.72
5.86,1057.15,510.98
5.87,1057.15,513.23
5.88,1057.15,514.36
5.9,1058.21,515.49
5.92,1058.21,517.75
5.93,1058.21,520
5.95,1058.21,521.13
5.97,1058.21,523.39
5.99,1058.21,524.52
6,1058.21,526.78
6.01,1058.21,527.9
6.03,1058.21,529.03
6.05,1058.21,531.29
6.07,1058.21,532.42
6.09,1058.21,534.68
6.1,1059.28,535.8
6.12,1059.28,536.93
6.13,1059.28,539.19
6.15,1059.28,540.32
6.17,1059.28,542.57
6.18,1059.28,544.83
6.2,1059.28,547.09
6.22,1059.28,550.47
6.24,1059.28,552.73
6.26,1059.28,557.25
6.28,1059.28,562.89
6.3,1059.28,565.15
6.32,1059.28,567.4
6.34,1059.28,569.66
6.35,1059.28,571.92
6.37,1059.28,575.3
6.38,1059.28,577.56
6.4,1059.28,580.95
6.41,1060.35,584.33
6.43,1060.35,587.72
6.45,1060.35,588.84
6.47,1061.42,593.36
6.49,1061.42,596.74
6.5,1062.49,600.13
6.51,1062.49,602.39
6.53,1062.49,603.52
6.55,1062.49,604.64
6.57,1062.49,605.77
6.58,1062.49,606.9
6.6,1063.55,608.03
6.62,1063.55,609.16
6.64,1063.55,611.42
6.66,1064.62,612.54
6.68,1065.69,615.93
6.7,1066.76,619.32
6.72,1067.82,622.7
6.74,1067.82,627.22
6.76,1068.89,629.47
6.77,1069.96,631.73
6.79,1069.96,633.99
6.8,1071.03,635.11
6.82,1071.03,637.37
6.83,1071.03,638.5
6.85,1072.1,639.63
6.87,1073.16,643.01
6.89,1073.16,644.14
6.91,1074.23,647.53
6.92,1074.23,649.79
6.93,1075.3,654.3
6.95,1075.3,658.81
6.97,1076.37,664.46
6.99,1077.43,670.1
7,1077.43,675.74
7.02,1078.5,680.26
7.04,1078.5,684.77
7.05,1078.5,688.16
7.07,1078.5,690.41
7.08,1078.5,697.18
7.1,1077.43,701.7
7.12,1077.43,705.08
7.14,1075.3,708.47
7.15,1074.23,712.98
7.17,1073.16,715.24
7.18,1073.16,717.5
7.2,1072.1,719.76
7.22,1072.1,722.01
7.23,1072.1,724.27
7.25,1072.1,726.53
7.27,1072.1,728.78
7.29,1072.1,733.3
7.31,1072.1,736.68
7.33,1072.1,743.45
7.35,1072.1,745.71
7.37,1072.1,749.1
7.39,1072.1,751.35
7.4,1072.1,753.61
7.42,1073.16,757
7.43,1073.16,760.38
7.45,1073.16,762.64
7.47,1073.16,769.41
7.48,1074.23,770.54
7.5,1074.23,777.31
7.52,1074.23,780.7
7.54,1075.3,784.08
7.56,1075.3,787.47
7.57,1075.3,789.72
7.58,1076.37,791.98
7.6,1076.37,794.24
7.62,1077.43,797.62
7.63,1078.5,799.88
7.65,1078.5,802.14
7.67,1079.57,805.52
7.69,1080.64,807.78
7.71,1081.71,811.17
7.73,1082.77,815.68
7.75,1082.77,817.94
7.77,1083.84,820.19
7.79,1083.84,822.45
7.8,1084.91,824.71
7.82,1084.91,828.09
7.83,1085.98,831.48
7.85,1085.98,833.74
7.87,1085.98,837.12
7.88,1085.98,839.38
7.9,1087.05,842.77
7.92,1087.05,845.02
7.94,1087.05,846.15
7.96,1087.05,848.41
7.98,1087.05,852.92
8,1087.05,855.18
8.02,1087.05,857.44
8.04,1087.05,859.69
8.05,1087.05,863.08
8.07,1087.05,866.46
8.09,1087.05,868.72
8.1,1087.05,873.24
8.11,1087.05,875.49
8.13,1087.05,877.75
8.15,1085.98,880.01
8.17,1084.91,883.39
8.19,1083.84,885.65
8.2,1083.84,887.91
8.21,1082.77,890.16
8.23,1082.77,892.42
8.25,1081.71,893.55
8.27,1081.71,895.81
8.29,1081.71,896.94
8.3,1081.71,899.19
8.32,1081.71,901.45
8.34,1080.64,904.84
8.36,1080.64,907.09
8.38,1080.64,910.48
8.4,1080.64,911.61
8.42,1080.64,912.73
8.45,1080.64,913.86
8.47,1080.64,914.99
8.5,1080.64,916.12
8.52,1080.64,917.25
8.53,1081.71,918.38
8.55,1081.71,919.51
8.57,1082.77,919.51
8.59,1082.77,920.63
8.61,1082.77,921.76
8.62,1083.84,922.89
8.63,1084.91,924.02
8.65,1084.91,925.15
8.67,1084.91,926.28
8.68,1084.91,927.41
8.7,1085.98,928.53
8.72,1085.98,929.66
8.74,1085.98,930.79
8.76,1085.98,931.92
8.78,1085.98,935.31
8.8,1085.98,937.56
8.83,1085.98,939.82
8.84,1085.98,940.95
8.88,1085.98,942.08
8.89,1085.98,943.21
8.91,1085.98,944.33
8.92,1085.98,945.46
8.94,1085.98,946.59
9.51,1085.98,946.59
10.09,1085.98,947.72
10.16,1085.98,948.85
10.2,1085.98,949.98
10.22,1085.98,951.11
10.24,1085.98,952.23
10.26,1085.98,953.36
10.28,1085.98,954.49
10.31,1085.98,955.62
10.34,1085.98,956.75
10.35,1085.98,957.88
10.39,1085.98,959
10.43,1085.98,960.13
10.45,1085.98,961.26
10.49,1085.98,962.39
10.51,1085.98,962.39
10.53,1085.98,963.52
10.56,1085.98,964.65
10.6,1085.98,965.78
10.64,1085.98,966.9
10.68,1085.98,968.03
10.71,1085.98,969.16
10.79,1085.98,970.29
10.85,1085.98,971.42
10.92,1085.98,972.55
10.94,1084.91,972.55
11.08,1084.91,973.68
11.11,1084.91,974.8
11.16,1084.91,975.93
11.36,1083.84,975.93
11.5,1083.84,975.93
12.51,1083.84,975.93
13.5,1083.84,975.93
13.98,1083.84,974.8
14.04,1083.84,973.68
14.23,1083.84,972.55
14.51,1083.84,972.55
14.55,1083.84,971.42
14.59,1083.84,970.29
14.67,1083.84,969.16
14.69,1082.77,966.9
14.71,1082.77,965.78
14.72,1082.77,964.65
14.74,1082.77,963.52
14.76,1081.71,962.39
14.79,1081.71,961.26
14.8,1081.71,960.13
14.82,1081.71,959
14.84,1081.71,957.88
14.88,1081.71,956.75
14.91,1081.71,955.62
14.94,1081.71,954.49
14.97,1081.71,953.36
15.03,1081.71,952.23
15.05,1081.71,951.11
15.07,1081.71,949.98
15.09,1081.71,948.85
15.14,1081.71,947.72
15.2,1081.71,946.59
15.22,1081.71,945.46
15.28,1081.71,944.33
15.31,1081.71,943.21
15.34,1081.71,942.08
15.37,1082.77,942.08
15.41,1082.77,940.95
15.45,1082.77,939.82
15.47,1083.84,938.69
15.49,1083.84,937.56
15.51,1083.84,937.56
15.56,1083.84,936.43
15.59,1083.84,935.31
15.62,1084.91,934.18
15.64,1084.91,933.05
15.7,1084.91,931.92
15.72,1085.98,930.79
15.77,1085.98,929.66
15.85,1085.98,928.53
15.89,1085.98,927.41
15.91,1085.98,926.28
15.93,1087.05,926.28
15.94,1087.05,925.15
15.97,1087.05,924.02
16.01,1087.05,922.89
16.02,1087.05,921.76
16.08,1087.05,920.63
16.19,1087.05,919.51
16.25,1087.05,918.38
16.27,1087.05,917.25
16.31,1087.05,916.12
16.33,1087.05,914.99
16.34,1087.05,913.86
16.36,1085.98,913.86
16.37,1085.98,912.73
16.44,1085.98,911.61
16.5,1085.98,911.61
16.52,1085.98,910.48
16.54,1085.98,909.35
16.58,1085.98,908.22
16.59,1085.98,907.09
16.61,1084.91,905.96
16.63,1084.91,904.84
16.65,1084.91,903.71
16.67,1084.91,902.58
16.71,1084.91,901.45
16.73,1084.91,900.32
16.74,1084.91,899.19
16.77,1084.91,898.06
16.81,1084.91,896.94
16.82,1084.91,895.81
16.84,1083.84,894.68
16.88,1083.84,893.55
16.9,1083.84,892.42
16.92,1083.84,891.29
16.98,1083.84,890.16
16.99,1082.77,889.04
17.03,1082.77,887.91
17.04,1082.77,886.78
17.06,1082.77,885.65
17.07,1081.71,884.52
17.09,1081.71,883.39
17.11,1081.71,882.26
17.13,1081.71,881.14
17.15,1080.64,878.88
17.17,1080.64,877.75
17.19,1080.64,876.62
17.21,1080.64,875.49
17.23,1079.57,875.49
17.24,1079.57,874.36
17.28,1079.57,873.24
17.29,1079.57,872.11
17.32,1079.57,869.85
17.34,1079.57,868.72
17.36,1079.57,867.59
17.38,1078.5,866.46
17.41,1078.5,864.21
17.42,1078.5,863.08
17.44,1078.5,861.95
17.46,1078.5,860.82
17.47,1078.5,858.57
17.49,1077.43,856.31
17.51,1077.43,855.18
17.53,1077.43,852.92
17.54,1077.43,850.67
17.55,1076.37,848.41
17.57,1076.37,845.02
17.59,1076.37,842.77
17.61,1075.3,839.38
17.62,1074.23,835.99
17.64,1074.23,832.61
17.66,1073.16,829.22
17.67,1072.1,826.97
17.68,1072.1,823.58
17.7,1071.03,821.32
17.72,1069.96,817.94
17.74,1069.96,815.68
17.76,1067.82,811.17
17.78,1066.76,808.91
17.79,1065.69,805.52
17.81,1064.62,804.4
17.82,1063.55,802.14
17.84,1062.49,799.88
17.86,1062.49,798.75
17.87,1061.42,796.5
17.89,1061.42,794.24
17.91,1061.42,793.11
17.93,1061.42,791.98
17.95,1060.35,788.6
17.97,1060.35,781.82
17.99,1060.35,778.44
18.01,1060.35,776.18
18.02,1060.35,773.92
18.04,1060.35,770.54
18.06,1060.35,768.28
18.08,1060.35,766.03
18.09,1060.35,763.77
18.1,1060.35,761.51
18.12,1060.35,759.25
18.14,1060.35,758.13
18.16,1060.35,755.87
18.18,1060.35,753.61
18.2,1060.35,751.35
18.22,1060.35,745.71
