time,speaker,talk
0,S,"I got to remember, I'm writing a petition. Second hour should be (inaudible). "
4,T,"Okay. The bells are kind of messed up so we will- I will probably just go ahead and dismiss you. We're now starting like five minutes late,"
15,T,because they didn't get the bells working right.
16,T,"All right, who is absent? Anybody?"
19,SN,I don't know.
21,T,You don't know? Do you know who sits at your table normally?
25,SN,//He's missing. Who is he?
26,SN,//I don't know who is supposed to-
27,SN,Devin is not here.
28,SN,No. He's //here.
29,T,//Devin is gone.
30,S,He's here.
31,T,Right. He's here.
35,T,"Jennifer, I'm gonna have you move to-"
41,T,"Yeah, a table of three people, not the one that's got four. "
46,T,"All right, so nobody is absent? Everybody is here?"
49,SN,Yeah.
52,T,Okay. 
57,T,"Um, I'm not going to return your papers today. I'll save that for tomorrow. We'll get right into what we're going to be talking about today. "
66,T,There's just a couple of things that I needed to go over with you first that I'm not sure that you got it before. 
76,T,Yes? Writing your homework books? Okay. 
84,T,All right. Open up your book. What? 
88,SN,I can't hear out of my ear.
90,T,What's wrong?
91,S,It hurts.
93,T,Did you ever go to the doctor?
95,S,Yeah.
96,SN,"Miss A, (inaudible)."
97,T,What?
98,SN,(inaudible).
99,T,Okay. Take these right here. Go. Bye. They must feel like they have the plague or something.
108,T,All right. You ready?
110,SN,Yeah.
111,T,Okay. On page- open your book to page 588. 
114,T,There are- 
123,T,There are some weather maps. There's actually four weather maps on those pages that are in front of you. 
128,T,"They are showing a progression of weather over a four-day period? Three-day period, okay. Where the weather is going. "
139,T,"Looking at those four maps, looking at the one on the page before that- flip one page back- "
151,T,"Okay? And looking on the page after that- flip two pages, forward- "
160,T,"So you're looking at page 587, 88, 89, and 90- find the high pressure centers; "
175,T,"find the low pressure centers,"
180,T,"on any one of those five or six maps,"
184,T,find the cold fronts and the warm fronts. 
190,T,"Okay, now here's a puzzle for you. What do you notice about fronts and pressure centers?"
198,T,What do you notice about the fronts and the high pressure; and the fronts and the low pressure?
204,T,Look- and you gotta look at the map in order to answer the question.
209,T,"And if you can't figure it out with one map, move to another map."
215,T,Make some comparisons.
218,T,What pattern do you notice about fronts and pressure centers?
233,SN,I have a question.
234,T,"Mm. No- no, no. I'm waiting."
238,SN,I have a question.
239,T,Oh. Question? Okay.
240,S,Aren't the pointed ones the warm fronts?
243,T,The pointed ones are the cold fronts.
245,S,Okay. I was just making sure.
250,T,"I thought you were gonna answer the question. I am waiting for some people to get that look on their face, like, ""oh."" "
262,T,"Stuart, are you noticing anything?"
268,T,Is there something you're noticing about the high pressure centers that is not the same as the low pressure centers?
281,SN,Besides the- besides the points?
284,T,Besides the what?
285,S,"The points, the triangle-"
286,T,What about the points?
288,S,That there's like more(inaudible)-
291,T,There's no triangles where?
293,S,No. There's more triangles-
294,T,Oh.
295,S,Than there's (inaudible).
297,T,Oh. Okay. So there's more cold fronts than warm fronts?
300,S,Yeah.
300,T,"Okay, but what about the low pressure centers and what about the high pressure centers? "
315,T,"Mitch, what do you think?"
316,SN,I think that there's low pressure centers on the cold fronts and the warm fronts too. Like on a front //there's like a-
323,T,//And what about the high pressure centers?
325,S,They are moving away from the front.
328,T,"They don't seem to have fronts attached to them, do they?"
332,S,No.
333,T,"You notice that, Jeff?"
334,SN,Uh-huh.
335,T,Look at all the low pressure centers. Do you see fronts attached to them? 
339,T,"No. Can you tell me why? Remember the balloon thing? Can you tell me why? Jeff, what do you think?"
349,S,"Uh, when it hits the hot air, it would like go above it. Like-"
356,T,So you got a warm air mass and a cold air mass?
358,S,"Yes. And when it hits- I remember, but- I remember it, but it's hard to explain."
365,T,Okay. You're saying the warm air rises above that cold air?
369,S,Yes. 
370,T,Okay. 
371,S,And the-
374,T,And the warm air has what kind of pressure?
378,S,Low pressure.
379,T,"Okay. Mark, did you have something to add?"
381,SN,No. I was gonna say (inaudible).
384,T,"Okay. Let me show you a real easy way to really kind of understand it. I have three balloons this time, and they are different color. Red is?"
394,SN,Cold.
395,SS,Warm.
