time,x,y
0,651.55,1518.9
1,651.55,1518.9
2,651.55,1518.9
3,651.55,1518.9
4,651.55,1523.05
5,651.55,1523.05
6,651.55,1523.05
7,651.55,1523.05
8,651.55,1523.05
9,651.55,1523.05
10,651.55,1523.05
11,651.55,1523.05
12,651.55,1523.05
13,651.55,1523.05
14,651.55,1523.05
15,651.55,1523.05
16,651.55,1523.05
17,651.55,1523.05
18,651.55,1523.05
19,651.55,1523.05
20,651.55,1523.05
21,651.55,1523.05
22,651.55,1523.05
23,651.55,1523.05
24,651.55,1523.05
25,651.55,1523.05
26,651.55,1523.05
27,651.55,1523.05
28,651.55,1523.05
29,651.55,1523.05
30,651.55,1523.05
31,651.55,1523.05
32,651.55,1523.05
33,651.55,1523.05
34,651.55,1523.05
35,651.55,1523.05
36,651.55,1523.05
37,651.55,1523.05
38,651.55,1523.05
39,651.55,1523.05
40,651.55,1523.05
41,651.55,1523.05
42,651.55,1523.05
43,651.55,1523.05
44,651.55,1523.05
45,651.55,1523.05
46,651.55,1523.05
47,651.55,1523.05
48,651.55,1523.05
49,651.55,1523.05
50,651.55,1523.05
51,651.55,1523.05
52,651.55,1523.05
53,651.55,1523.05
54,651.55,1523.05
55,651.55,1523.05
56,651.55,1523.05
57,651.55,1523.05
58,651.55,1523.05
59,651.55,1523.05
60,651.55,1523.05
61,651.55,1523.05
62,651.55,1523.05
63,651.55,1523.05
64,651.55,1523.05
65,651.55,1523.05
66,651.55,1523.05
67,651.55,1523.05
68,651.55,1523.05
69,651.55,1523.05
70,651.55,1523.05
71,651.55,1523.05
72,651.55,1523.05
73,651.55,1523.05
74,651.55,1523.05
75,651.55,1523.05
76,651.55,1523.05
77,651.55,1523.05
78,651.55,1523.05
79,651.55,1523.05
80,651.55,1523.05
81,651.55,1523.05
82,651.55,1523.05
83,651.55,1523.05
84,651.55,1523.05
85,651.55,1523.05
86,651.55,1523.05
87,651.55,1523.05
88,651.55,1523.05
89,651.55,1523.05
90,651.55,1523.05
91,651.55,1523.05
92,651.55,1523.05
93,651.55,1523.05
94,651.55,1523.05
95,655.7,1523.05
96,655.7,1523.05
97,655.7,1523.05
98,655.7,1523.05
99,655.7,1523.05
100,655.7,1523.05
101,655.7,1523.05
102,655.7,1523.05
103,655.7,1523.05
104,655.7,1523.05
105,655.7,1523.05
106,655.7,1523.05
107,655.7,1523.05
108,655.7,1523.05
109,655.7,1523.05
110,655.7,1523.05
111,655.7,1523.05
112,655.7,1523.05
113,655.7,1523.05
114,655.7,1523.05
115,655.7,1523.05
116,655.7,1523.05
117,655.7,1523.05
118,655.7,1523.05
119,655.7,1523.05
120,655.7,1523.05
121,655.7,1523.05
122,655.7,1523.05
123,655.7,1523.05
124,655.7,1523.05
125,655.7,1523.05
126,655.7,1523.05
127,655.7,1523.05
128,655.7,1523.05
129,655.7,1523.05
130,655.7,1523.05
131,655.7,1523.05
132,655.7,1523.05
133,655.7,1523.05
134,655.7,1523.05
135,655.7,1523.05
136,655.7,1523.05
137,655.7,1523.05
138,655.7,1523.05
139,655.7,1523.05
140,655.7,1523.05
141,655.7,1523.05
142,655.7,1523.05
143,655.7,1523.05
144,655.7,1523.05
145,655.7,1523.05
146,655.7,1523.05
147,655.7,1523.05
148,655.7,1523.05
149,655.7,1523.05
150,655.7,1523.05
151,655.7,1523.05
152,655.7,1523.05
153,655.7,1523.05
154,655.7,1523.05
155,655.7,1523.05
156,655.7,1523.05
157,651.55,1523.05
158,651.55,1523.05
159,651.55,1523.05
160,651.55,1523.05
161,651.55,1523.05
162,651.55,1523.05
163,651.55,1523.05
164,651.55,1523.05
165,651.55,1523.05
166,651.55,1523.05
167,651.55,1523.05
168,651.55,1523.05
169,651.55,1523.05
170,651.55,1523.05
171,651.55,1523.05
172,651.55,1523.05
173,651.55,1523.05
174,651.55,1523.05
175,651.55,1523.05
176,651.55,1523.05
177,651.55,1523.05
178,651.55,1523.05
179,651.55,1523.05
180,651.55,1523.05
181,651.55,1523.05
182,651.55,1523.05
183,651.55,1523.05
184,651.55,1523.05
185,651.55,1523.05
186,651.55,1523.05
187,651.55,1523.05
188,651.55,1523.05
189,651.55,1523.05
190,651.55,1523.05
191,651.55,1523.05
192,651.55,1523.05
193,651.55,1523.05
194,651.55,1523.05
195,651.55,1523.05
196,651.55,1523.05
197,651.55,1523.05
198,651.55,1523.05
199,651.55,1523.05
200,651.55,1523.05
201,651.55,1523.05
202,651.55,1523.05
203,651.55,1523.05
204,651.55,1523.05
205,651.55,1523.05
206,651.55,1523.05
207,651.55,1523.05
208,651.55,1523.05
209,651.55,1523.05
210,651.55,1523.05
211,651.55,1523.05
212,651.55,1523.05
213,651.55,1523.05
214,651.55,1523.05
215,651.55,1523.05
216,651.55,1523.05
217,651.55,1523.05
218,651.55,1523.05
219,651.55,1523.05
220,651.55,1523.05
221,651.55,1523.05
222,651.55,1523.05
223,651.55,1523.05
224,651.55,1523.05
225,651.55,1523.05
226,651.55,1523.05
227,651.55,1523.05
228,651.55,1523.05
229,651.55,1523.05
230,651.55,1523.05
231,651.55,1523.05
232,651.55,1523.05
233,651.55,1523.05
234,651.55,1523.05
235,651.55,1523.05
236,651.55,1523.05
237,651.55,1523.05
238,651.55,1523.05
239,651.55,1523.05
240,659.85,1523.05
241,659.85,1523.05
242,659.85,1523.05
243,659.85,1523.05
244,659.85,1523.05
245,659.85,1523.05
246,659.85,1523.05
247,659.85,1523.05
248,659.85,1523.05
249,659.85,1523.05
250,659.85,1523.05
251,659.85,1523.05
252,659.85,1523.05
253,659.85,1523.05
254,659.85,1523.05
255,659.85,1523.05
256,659.85,1523.05
257,659.85,1523.05
258,659.85,1523.05
259,659.85,1523.05
260,659.85,1523.05
261,659.85,1523.05
262,659.85,1523.05
263,659.85,1523.05
264,659.85,1523.05
265,659.85,1523.05
266,659.85,1523.05
267,659.85,1523.05
268,659.85,1523.05
269,659.85,1523.05
270,659.85,1523.05
271,659.85,1523.05
272,659.85,1523.05
273,659.85,1523.05
274,659.85,1523.05
275,659.85,1523.05
276,659.85,1523.05
277,659.85,1523.05
278,659.85,1523.05
279,659.85,1523.05
280,659.85,1523.05
281,659.85,1523.05
282,659.85,1523.05
283,659.85,1523.05
284,659.85,1523.05
285,659.85,1523.05
286,659.85,1523.05
287,659.85,1523.05
288,664,1523.05
289,659.85,1523.05
290,659.85,1523.05
291,659.85,1523.05
292,659.85,1523.05
293,659.85,1523.05
294,659.85,1523.05
295,659.85,1523.05
296,659.85,1523.05
297,659.85,1523.05
298,659.85,1523.05
299,659.85,1523.05
300,659.85,1523.05
301,659.85,1523.05
302,659.85,1523.05
303,659.85,1523.05
304,659.85,1523.05
305,659.85,1523.05
306,659.85,1523.05
307,659.85,1523.05
308,659.85,1523.05
309,659.85,1523.05
310,659.85,1523.05
311,659.85,1523.05
312,668.15,1523.05
313,668.15,1531.35
314,668.15,1531.35
315,680.6,1531.35
316,780.2,1572.85
317,971.1,1610.2
318,1236.7,1668.3
319,1440.05,1759.6
320,1738.85,1767.9
321,1967.1,1776.2
322,2149.7,1780.35
323,2236.85,1772.05
324,2278.35,1788.65
325,2278.35,1805.25
326,2278.35,1813.55
327,2278.35,1813.55
328,2278.35,1813.55
329,2278.35,1813.55
330,2278.35,1813.55
331,2278.35,1813.55
332,2270.05,1821.85
333,2270.05,1817.7
334,2270.05,1817.7
335,2270.05,1817.7
336,2270.05,1817.7
337,2270.05,1817.7
338,2270.05,1817.7
339,2270.05,1817.7
340,2270.05,1817.7
341,2270.05,1817.7
342,2270.05,1817.7
343,2270.05,1817.7
344,2270.05,1817.7
345,2270.05,1817.7
346,2270.05,1817.7
347,2270.05,1817.7
348,2270.05,1817.7
349,2270.05,1817.7
350,2270.05,1817.7
351,2270.05,1817.7
352,2270.05,1817.7
353,2270.05,1817.7
354,2270.05,1817.7
355,2270.05,1817.7
356,2270.05,1817.7
357,2270.05,1817.7
358,2270.05,1817.7
359,2270.05,1817.7
360,2270.05,1817.7
361,2270.05,1817.7
362,2270.05,1817.7
363,2270.05,1817.7
364,2270.05,1817.7
365,2270.05,1817.7
366,2270.05,1817.7
367,2265.9,1817.7
368,2278.35,1817.7
369,2274.2,1821.85
370,2274.2,1821.85
371,2274.2,1821.85
372,2274.2,1821.85
373,2274.2,1821.85
374,2274.2,1821.85
375,2274.2,1821.85
376,2274.2,1821.85
377,2274.2,1821.85
378,2274.2,1821.85
379,2274.2,1821.85
380,2274.2,1821.85
381,2274.2,1821.85
382,2274.2,1821.85
383,2274.2,1821.85
384,2274.2,1821.85
385,2274.2,1821.85
386,2270.05,1834.3
387,2261.75,1859.2
388,2274.2,1879.95
389,2265.9,1892.4
390,2265.9,1879.95
391,2265.9,1879.95
392,2265.9,1879.95
393,2265.9,1879.95
394,2274.2,1921.45
395,2278.35,1987.85
396,2257.6,1967.1
397,2270.05,1938.05
398,2270.05,1933.9
399,2270.05,1933.9
400,2270.05,1933.9
401,2270.05,1933.9
402,2270.05,1933.9
403,2270.05,1933.9
404,2270.05,1933.9
405,2270.05,1933.9
406,2270.05,1933.9
407,2270.05,1933.9
408,2270.05,1933.9
409,2270.05,1933.9
410,2270.05,1933.9
411,2270.05,1933.9
412,2270.05,1933.9
413,2270.05,1933.9
414,2270.05,1933.9
415,2270.05,1933.9
416,2270.05,1933.9
417,2270.05,1933.9
418,2270.05,1933.9
419,2270.05,1933.9
420,2270.05,1933.9
421,2270.05,1933.9
422,2270.05,1933.9
423,2270.05,1933.9
424,2270.05,1933.9
425,2270.05,1933.9
426,2270.05,1933.9
