time,x,y
0.01,1112.24,998.23
0.46,1110.52,998.23
0.5,1108.81,998.23
0.67,1107.1,998.23
0.84,1105.38,998.23
0.94,1103.67,998.23
1.06,1101.95,998.23
1.14,1100.24,998.23
1.19,1100.24,999.65
1.22,1098.53,999.65
1.32,1096.81,999.65
1.44,1095.1,999.65
1.47,1095.1,1001.07
1.51,1095.1,1001.07
1.56,1093.39,1001.07
1.8,1091.67,1001.07
1.82,1091.67,1002.49
2.32,1089.96,1002.49
2.51,1089.96,1002.49
2.72,1089.96,1003.91
2.76,1088.24,1003.91
2.91,1086.53,1003.91
3.11,1084.82,1003.91
3.16,1084.82,1005.32
3.24,1083.1,1005.32
3.36,1081.39,1005.32
3.47,1079.68,1006.74
3.51,1079.68,1006.74
3.59,1077.96,1006.74
3.62,1077.96,1008.16
4.19,1077.96,1009.58
4.22,1076.25,1009.58
4.29,1076.25,1011
4.36,1074.53,1011
4.37,1074.53,1012.41
4.49,1074.53,1013.83
4.5,1074.53,1013.83
4.64,1072.82,1013.83
4.71,1072.82,1015.25
4.94,1072.82,1016.67
5.14,1072.82,1018.09
5.21,1071.11,1018.09
5.37,1071.11,1019.5
5.51,1071.11,1019.5
5.56,1071.11,1020.92
5.87,1069.39,1020.92
6.02,1069.39,1022.34
6.16,1067.68,1022.34
6.27,1067.68,1023.76
6.37,1065.97,1023.76
6.51,1065.97,1023.76
7.51,1065.97,1023.76
8.51,1065.97,1023.76
9.51,1065.97,1023.76
10.51,1065.97,1023.76
11.51,1065.97,1023.76
12.51,1065.97,1023.76
13.51,1065.97,1023.76
14.51,1065.97,1023.76
15.51,1065.97,1023.76
16.51,1065.97,1023.76
17.51,1065.97,1023.76
18.51,1065.97,1023.76
19.51,1065.97,1023.76
20.51,1065.97,1023.76
21.51,1065.97,1023.76
22.51,1065.97,1023.76
23.51,1065.97,1023.76
24.51,1065.97,1023.76
25.51,1065.97,1023.76
26.51,1065.97,1023.76
27.52,1065.97,1023.76
28.52,1065.97,1023.76
29.52,1065.97,1023.76
30.52,1065.97,1023.76
31.52,1065.97,1023.76
32.52,1065.97,1023.76
33.52,1065.97,1023.76
34.52,1065.97,1023.76
35.52,1065.97,1023.76
36.52,1065.97,1023.76
37.52,1065.97,1023.76
38.52,1065.97,1023.76
39.52,1065.97,1023.76
40.52,1065.97,1023.76
41.52,1065.97,1023.76
42.52,1065.97,1023.76
43.52,1065.97,1023.76
44.52,1065.97,1023.76
45.5,1065.97,1023.76
46.5,1065.97,1023.76
47.5,1065.97,1023.76
48.5,1065.97,1023.76
49.5,1065.97,1023.76
50.5,1065.97,1023.76
51.5,1065.97,1023.76
52.5,1065.97,1023.76
53.5,1065.97,1023.76
54.5,1065.97,1023.76
55.5,1065.97,1023.76
56.52,1065.97,1023.76
57.5,1065.97,1023.76
58.51,1065.97,1023.76
59.5,1065.97,1023.76
59.99,1064.25,1023.76
60.06,1062.54,1023.76
60.07,1060.82,1025.17
60.11,1059.11,1025.17
60.12,1057.4,1025.17
60.17,1055.68,1025.17
60.24,1053.97,1025.17
60.29,1052.26,1025.17
60.32,1052.26,1026.59
60.39,1050.54,1026.59
60.49,1048.83,1026.59
60.51,1048.83,1026.59
60.74,1047.11,1026.59
60.75,1047.11,1025.17
60.82,1045.4,1025.17
60.86,1045.4,1023.76
60.92,1043.69,1023.76
60.97,1043.69,1022.34
61.1,1041.97,1022.34
61.12,1041.97,1020.92
61.21,1041.97,1019.5
61.29,1041.97,1018.09
61.39,1041.97,1016.67
61.5,1041.97,1015.25
61.59,1041.97,1013.83
61.69,1040.26,1013.83
61.76,1040.26,1012.41
61.91,1040.26,1011
62.12,1040.26,1009.58
62.32,1040.26,1008.16
62.47,1040.26,1006.74
62.5,1040.26,1006.74
63.49,1040.26,1008.16
63.51,1040.26,1008.16
63.59,1040.26,1009.58
63.67,1040.26,1011
63.76,1038.55,1011
63.77,1038.55,1012.41
63.8,1038.55,1013.83
63.82,1036.83,1013.83
63.89,1035.12,1015.25
63.96,1033.4,1016.67
64.02,1031.69,1018.09
64.07,1029.98,1018.09
64.14,1028.26,1018.09
64.16,1028.26,1019.5
64.19,1026.55,1019.5
64.22,1024.84,1019.5
64.26,1023.12,1019.5
64.3,1021.41,1020.92
64.37,1019.69,1020.92
64.44,1017.98,1020.92
64.51,1016.27,1020.92
64.62,1014.55,1022.34
64.72,1012.84,1022.34
64.74,1012.84,1023.76
64.77,1011.13,1023.76
64.81,1009.41,1025.17
64.84,1007.7,1025.17
64.87,1005.98,1025.17
64.92,1004.27,1026.59
64.99,1002.56,1026.59
65.04,1000.84,1026.59
65.07,1000.84,1028.01
65.11,999.13,1028.01
65.17,997.41,1028.01
65.24,995.7,1028.01
65.39,993.99,1028.01
65.46,993.99,1029.43
65.49,992.27,1029.43
65.5,992.27,1029.43
65.62,990.56,1029.43
65.76,988.85,1029.43
66.51,988.85,1029.43
67.51,988.85,1029.43
68.51,988.85,1029.43
69.51,988.85,1029.43
70.51,988.85,1029.43
71.51,988.85,1029.43
72.51,988.85,1029.43
73.51,988.85,1029.43
74.51,988.85,1029.43
75.51,988.85,1029.43
76.51,988.85,1029.43
77.51,988.85,1029.43
78.51,988.85,1029.43
79.51,988.85,1029.43
80.51,988.85,1029.43
81.51,988.85,1029.43
82.51,988.85,1029.43
83.51,988.85,1029.43
84.51,988.85,1029.43
85.51,988.85,1029.43
86.52,988.85,1029.43
87.52,988.85,1029.43
88.52,988.85,1029.43
88.71,987.13,1029.43
88.76,985.42,1029.43
89.31,983.7,1029.43
89.35,981.99,1029.43
89.36,981.99,1030.85
89.51,980.28,1030.85
89.56,978.56,1030.85
89.95,976.85,1030.85
90.18,975.14,1030.85
90.33,973.42,1030.85
90.51,973.42,1030.85
90.75,971.71,1030.85
90.81,969.99,1030.85
90.92,968.28,1030.85
91.33,966.57,1030.85
91.52,966.57,1030.85
91.65,966.57,1029.43
91.76,964.85,1029.43
91.88,963.14,1029.43
92.02,963.14,1028.01
92.05,961.43,1028.01
92.46,959.71,1028.01
92.51,959.71,1028.01
92.7,958,1028.01
92.76,958,1026.59
92.86,956.28,1026.59
92.88,956.28,1025.17
92.96,954.57,1025.17
93.05,954.57,1023.76
93.51,954.57,1023.76
94.52,954.57,1023.76
95.51,954.57,1023.76
96.51,954.57,1023.76
97.52,954.57,1023.76
98.51,954.57,1023.76
99.52,954.57,1023.76
100.52,954.57,1023.76
101.52,954.57,1023.76
102.52,954.57,1023.76
103.52,954.57,1023.76
104.5,952.86,1022.34
105.52,952.86,1022.34
