time,x,y
0,1112.24,998.31
0.5,1112.24,998.31
0.79,1110.52,998.31
1.2,1108.81,998.31
1.26,1107.1,998.31
1.36,1105.38,998.31
1.51,1105.38,998.31
1.52,1103.67,998.31
1.6,1101.95,999.82
1.7,1100.24,999.82
1.79,1098.53,1001.34
1.87,1096.81,1001.34
1.92,1096.81,1002.85
1.99,1095.1,1002.85
2.51,1093.39,1004.36
2.62,1091.67,1005.88
3.5,1091.67,1005.88
3.89,1091.67,1007.39
4.5,1091.67,1007.39
4.61,1089.96,1008.9
4.81,1089.96,1010.41
5.21,1088.24,1010.41
5.51,1088.24,1010.41
5.79,1088.24,1011.93
6.02,1086.53,1011.93
6.04,1086.53,1013.44
6.27,1084.82,1013.44
6.5,1084.82,1013.44
7.3,1084.82,1014.95
7.37,1083.1,1014.95
7.5,1083.1,1014.95
7.59,1081.39,1016.46
7.96,1081.39,1017.98
7.99,1079.68,1017.98
8.27,1077.96,1017.98
8.35,1077.96,1019.49
8.5,1077.96,1019.49
9.51,1077.96,1019.49
9.67,1076.25,1019.49
9.9,1076.25,1021
9.94,1074.53,1021
10.49,1074.53,1022.51
10.5,1074.53,1022.51
10.52,1072.82,1022.51
11.11,1071.11,1022.51
11.12,1071.11,1024.03
11.22,1069.39,1024.03
11.24,1069.39,1025.54
11.34,1067.68,1025.54
11.39,1067.68,1027.05
11.45,1065.97,1027.05
11.51,1065.97,1027.05
11.57,1065.97,1028.56
12.5,1065.97,1028.56
13.51,1065.97,1028.56
14.5,1065.97,1028.56
15.51,1065.97,1028.56
16.51,1065.97,1028.56
17.51,1065.97,1028.56
18.51,1065.97,1028.56
19.51,1065.97,1028.56
20.51,1065.97,1028.56
21.51,1065.97,1028.56
22.51,1065.97,1028.56
23.51,1065.97,1028.56
24.51,1065.97,1028.56
25.51,1065.97,1028.56
26.5,1065.97,1028.56
27.5,1065.97,1028.56
28.5,1065.97,1028.56
29.5,1065.97,1028.56
30.5,1065.97,1028.56
31.5,1065.97,1028.56
32.51,1065.97,1028.56
33.02,1064.25,1028.56
33.17,1064.25,1027.05
33.51,1064.25,1027.05
33.59,1065.97,1027.05
