time,x,y
0.01,1112.24,999.18
0.5,1112.24,999.18
1.5,1112.24,999.18
1.6,1110.52,999.18
1.8,1108.81,999.18
2.05,1107.1,999.18
2.15,1105.38,999.18
2.5,1105.38,999.18
2.69,1103.67,999.18
2.79,1101.95,999.18
2.92,1100.24,999.18
3.5,1100.24,999.18
3.72,1098.53,999.18
3.74,1098.53,1000.6
3.87,1096.81,1000.6
3.9,1096.81,1002.02
4.07,1095.1,1002.02
4.09,1095.1,1003.44
4.19,1093.39,1003.44
4.29,1093.39,1004.86
4.5,1093.39,1004.86
4.62,1091.67,1004.86
4.67,1091.67,1006.28
4.9,1091.67,1007.7
5.22,1089.96,1007.7
5.24,1089.96,1009.12
5.4,1089.96,1010.55
5.5,1089.96,1010.55
5.52,1088.24,1010.55
5.65,1088.24,1011.97
5.79,1088.24,1013.39
5.8,1086.53,1013.39
6.2,1086.53,1014.81
6.3,1084.82,1014.81
6.32,1084.82,1016.23
6.5,1083.1,1016.23
6.54,1083.1,1017.65
6.97,1081.39,1017.65
6.99,1081.39,1019.07
7.5,1081.39,1019.07
7.84,1079.68,1019.07
7.87,1079.68,1020.49
8.05,1077.96,1020.49
8.4,1077.96,1021.92
8.49,1077.96,1023.34
8.5,1077.96,1023.34
8.54,1076.25,1023.34
8.59,1076.25,1024.76
8.75,1074.53,1026.18
9.5,1074.53,1026.18
10.5,1074.53,1026.18
11.5,1074.53,1026.18
12.5,1074.53,1026.18
13.5,1074.53,1026.18
14.5,1074.53,1026.18
15.5,1074.53,1026.18
16.5,1074.53,1026.18
17.5,1074.53,1026.18
18.5,1074.53,1026.18
19.5,1074.53,1026.18
20.5,1074.53,1026.18
21.5,1074.53,1026.18
22.5,1074.53,1026.18
23.5,1074.53,1026.18
24.5,1074.53,1026.18
25.5,1074.53,1026.18
26.5,1074.53,1026.18
27.5,1074.53,1026.18
28.5,1074.53,1026.18
29.5,1074.53,1026.18
30.5,1074.53,1026.18
31.5,1074.53,1026.18
32.5,1074.53,1026.18
33.51,1074.53,1026.18
34.51,1074.53,1026.18
35.51,1074.53,1026.18
36.51,1074.53,1026.18
37.5,1074.53,1026.18
38.51,1074.53,1026.18
39.51,1074.53,1026.18
40.51,1074.53,1026.18
41.51,1074.53,1026.18
42.11,1072.82,1026.18
42.51,1072.82,1026.18
42.66,1071.11,1026.18
42.83,1069.39,1026.18
42.88,1069.39,1027.6
42.98,1067.68,1027.6
43.1,1065.97,1027.6
43.18,1064.25,1027.6
43.31,1062.54,1027.6
43.45,1060.82,1027.6
43.51,1060.82,1027.6
43.7,1059.11,1027.6
43.91,1057.4,1027.6
44.03,1057.4,1026.18
44.05,1055.68,1026.18
44.25,1053.97,1026.18
44.35,1053.97,1024.76
44.51,1052.26,1024.76
45.21,1052.26,1023.34
45.51,1052.26,1023.34
45.6,1050.54,1023.34
45.81,1048.83,1021.92
46.06,1047.11,1020.49
46.18,1047.11,1019.07
46.21,1045.4,1019.07
46.36,1045.4,1017.65
46.41,1043.69,1017.65
46.51,1043.69,1017.65
46.71,1043.69,1016.23
46.86,1041.97,1016.23
47.45,1041.97,1014.81
47.5,1041.97,1013.39
47.55,1041.97,1011.97
47.63,1040.26,1010.55
47.68,1040.26,1009.12
47.71,1038.55,1007.7
47.73,1038.55,1006.28
47.78,1036.83,1004.86
47.81,1036.83,1003.44
47.86,1036.83,1002.02
47.91,1035.12,1002.02
47.93,1035.12,1000.6
48.03,1035.12,999.18
48.15,1035.12,997.75
48.27,1035.12,996.33
48.35,1035.12,994.91
48.45,1035.12,993.49
48.51,1035.12,993.49
48.53,1035.12,992.07
48.75,1035.12,990.65
49.11,1035.12,989.23
49.18,1035.12,987.8
49.23,1035.12,986.38
49.32,1035.12,984.96
49.43,1035.12,983.54
49.51,1035.12,983.54
49.93,1035.12,982.12
50.51,1035.12,982.12
51.3,1035.12,983.54
51.33,1035.12,984.96
51.38,1035.12,986.38
51.41,1035.12,987.8
51.46,1035.12,989.23
51.51,1035.12,990.65
51.65,1035.12,992.07
51.78,1033.4,993.49
51.93,1033.4,994.91
52.03,1033.4,996.33
52.1,1033.4,997.75
52.16,1031.69,997.75
52.2,1031.69,999.18
52.31,1031.69,1000.6
52.45,1031.69,1002.02
52.51,1031.69,1002.02
53.48,1029.98,1002.02
53.51,1029.98,1002.02
53.53,1029.98,1003.44
53.63,1029.98,1004.86
53.7,1028.26,1004.86
53.71,1028.26,1006.28
53.8,1028.26,1007.7
53.85,1026.55,1007.7
53.88,1026.55,1009.12
53.93,1026.55,1010.55
53.96,1024.84,1010.55
54.01,1024.84,1011.97
54.1,1023.12,1011.97
54.11,1023.12,1013.39
54.33,1023.12,1014.81
54.38,1021.41,1014.81
54.51,1021.41,1014.81
54.76,1021.41,1016.23
55.06,1019.69,1016.23
55.11,1019.69,1017.65
55.33,1017.98,1017.65
55.36,1017.98,1019.07
55.51,1017.98,1019.07
55.56,1017.98,1020.49
55.61,1016.27,1020.49
55.75,1016.27,1021.92
55.81,1014.55,1021.92
55.93,1014.55,1023.34
55.96,1012.84,1023.34
56.06,1012.84,1024.76
56.13,1011.13,1024.76
56.23,1011.13,1026.18
56.28,1009.41,1026.18
56.41,1009.41,1027.6
56.45,1007.7,1027.6
56.51,1007.7,1027.6
56.61,1005.98,1029.02
56.88,1004.27,1029.02
56.91,1004.27,1030.44
57.08,1002.56,1030.44
57.16,1002.56,1031.87
57.31,1000.84,1031.87
57.5,1000.84,1033.29
57.51,999.13,1033.29
57.71,997.41,1033.29
57.86,997.41,1034.71
57.96,995.7,1034.71
58.51,995.7,1034.71
59.51,995.7,1034.71
60.51,995.7,1034.71
61.51,995.7,1034.71
62.51,995.7,1034.71
63.51,995.7,1034.71
64.51,995.7,1034.71
65.51,995.7,1034.71
66.51,995.7,1034.71
66.88,993.99,1034.71
66.96,992.27,1034.71
67.03,990.56,1034.71
67.06,988.85,1034.71
67.11,987.13,1034.71
67.15,985.42,1034.71
67.23,983.7,1034.71
67.37,981.99,1034.71
67.5,980.28,1034.71
67.68,978.56,1034.71
67.81,976.85,1034.71
67.98,975.14,1034.71
68.1,973.42,1034.71
68.36,971.71,1034.71
68.51,971.71,1034.71
68.55,969.99,1034.71
68.56,969.99,1033.29
68.73,968.28,1033.29
68.76,968.28,1031.87
69.52,968.28,1031.87
70.52,968.28,1031.87
71.52,968.28,1031.87
72.52,968.28,1031.87
73.52,968.28,1031.87
74.52,968.28,1031.87
75.52,968.28,1031.87
76.52,968.28,1031.87
77.52,968.28,1031.87
78.52,968.28,1031.87
79.52,968.28,1031.87
80.52,968.28,1031.87
81.52,968.28,1031.87
82.52,968.28,1031.87
83.52,968.28,1031.87
84.52,968.28,1031.87
85.52,968.28,1031.87
86.52,968.28,1031.87
87.52,968.28,1031.87
88.52,968.28,1031.87
89.52,968.28,1031.87
90.52,968.28,1031.87
91.5,968.28,1031.87
92.5,968.28,1031.87
93.5,968.28,1031.87
94.5,968.28,1031.87
95.5,968.28,1031.87
96.5,968.28,1031.87
97.5,968.28,1031.87
98.5,968.28,1031.87
99.5,968.28,1031.87
100.5,968.28,1031.87
101.5,968.28,1031.87
102.5,968.28,1031.87
103.5,968.28,1031.87
104.5,968.28,1031.87
105.5,968.28,1031.87
106.5,968.28,1031.87
107.5,968.28,1031.87
108.5,968.28,1031.87
109.5,968.28,1031.87
110.5,968.28,1031.87
111.5,968.28,1031.87
112.5,968.28,1031.87
113.51,968.28,1031.87
114.51,968.28,1031.87
114.76,968.28,1030.44
114.85,966.57,1030.44
115.05,966.57,1029.02
115.13,964.85,1029.02
115.26,964.85,1027.6
115.28,963.14,1027.6
115.39,961.43,1027.6
115.5,959.71,1026.18
115.61,958,1026.18
115.71,958,1024.76
115.73,956.28,1024.76
115.86,954.57,1024.76
116.08,952.86,1024.76
116.51,952.86,1024.76
117.51,952.86,1024.76
118.51,952.86,1024.76
119.51,952.86,1024.76
120.51,952.86,1024.76
121.51,952.86,1024.76
122.51,952.86,1024.76
123.51,952.86,1024.76
124.51,952.86,1024.76
125.51,952.86,1024.76
126.51,952.86,1024.76
126.64,951.14,1023.34
126.71,949.43,1023.34
127.13,947.72,1021.92
127.16,946,1021.92
127.24,944.29,1021.92
127.43,942.57,1021.92
127.48,940.86,1021.92
127.51,940.86,1021.92
127.53,939.15,1021.92
127.54,939.15,1020.49
127.58,937.43,1020.49
127.64,935.72,1020.49
127.81,934.01,1020.49
128.51,934.01,1020.49
129.51,934.01,1020.49
129.63,932.29,1020.49
130.51,932.29,1020.49
130.63,930.58,1020.49
130.73,928.86,1020.49
130.81,927.15,1020.49
130.93,925.44,1020.49
131.08,923.72,1020.49
131.28,922.01,1020.49
131.48,920.3,1020.49
131.51,920.3,1020.49
131.59,918.58,1020.49
132.51,918.58,1020.49
132.79,916.87,1020.49
133.51,916.87,1020.49
134.21,915.15,1020.49
134.24,915.15,1019.07
134.38,913.44,1019.07
134.46,911.73,1019.07
134.51,911.73,1019.07
134.59,910.01,1019.07
134.76,910.01,1017.65
134.79,908.3,1017.65
134.91,906.59,1017.65
134.99,904.87,1017.65
135.08,903.16,1017.65
135.24,901.44,1017.65
135.43,899.73,1017.65
135.51,899.73,1017.65
135.54,898.02,1017.65
135.71,896.3,1017.65
135.84,894.59,1017.65
136.06,892.87,1017.65
136.51,892.87,1017.65
136.54,891.16,1017.65
136.73,889.45,1017.65
136.81,889.45,1019.07
136.83,887.73,1019.07
137.03,886.02,1019.07
137.21,884.31,1019.07
137.31,882.59,1019.07
137.43,880.88,1019.07
137.51,880.88,1019.07
