time,x,y
0,1113.95,999.41
0.51,1113.95,999.41
0.81,1112.24,999.41
0.91,1110.52,999.41
1.51,1110.52,999.41
1.74,1108.81,999.41
1.99,1107.1,999.41
2.51,1107.1,999.41
3.03,1105.38,999.41
3.24,1103.67,999.41
3.51,1103.67,999.41
4.24,1101.95,999.41
4.34,1101.95,1000.83
4.41,1100.24,1000.83
4.51,1100.24,1000.83
4.53,1098.53,1000.83
4.7,1098.53,1002.25
4.78,1096.81,1002.25
5.08,1095.1,1002.25
5.11,1095.1,1003.67
5.51,1095.1,1003.67
6.51,1095.1,1003.67
6.96,1095.1,1005.09
7.04,1095.1,1006.51
7.06,1093.39,1006.51
7.29,1093.39,1007.93
7.51,1093.39,1007.93
8.51,1093.39,1007.93
8.74,1091.67,1007.93
8.83,1091.67,1009.35
9.04,1089.96,1009.35
9.11,1089.96,1010.77
9.51,1089.96,1010.77
10.51,1089.96,1010.77
11.28,1089.96,1012.19
11.36,1088.24,1012.19
11.43,1088.24,1013.61
11.46,1086.53,1013.61
11.51,1086.53,1013.61
11.59,1084.82,1015.03
11.76,1083.1,1016.45
11.94,1083.1,1017.87
11.96,1081.39,1017.87
12.03,1081.39,1019.29
12.13,1079.68,1019.29
12.21,1079.68,1020.71
12.36,1077.96,1020.71
12.38,1077.96,1022.13
12.51,1077.96,1022.13
12.61,1076.25,1023.55
12.79,1076.25,1024.97
12.88,1074.53,1024.97
13.08,1072.82,1024.97
13.11,1072.82,1026.39
13.24,1071.11,1026.39
13.41,1071.11,1027.81
13.46,1069.39,1027.81
13.51,1069.39,1027.81
13.59,1067.68,1029.23
13.73,1065.97,1029.23
13.74,1065.97,1030.65
13.83,1064.25,1030.65
13.91,1064.25,1032.07
14.51,1064.25,1032.07
15.51,1064.25,1032.07
16.51,1064.25,1032.07
17.51,1064.25,1032.07
18.51,1064.25,1032.07
19.51,1064.25,1032.07
20.51,1064.25,1032.07
21.51,1064.25,1032.07
22.51,1064.25,1032.07
23.51,1064.25,1032.07
24.51,1064.25,1032.07
25.51,1064.25,1032.07
26.51,1064.25,1032.07
27.51,1064.25,1032.07
28.51,1064.25,1032.07
