time,longitude,latitude,altitude_2,speed_2,time_2,music_2,conversation_2
1446061345,-86.7854516,36.1640429,153,0.8,0,1,H: here is this uh.. sign/A: this is one.. the nashville sit ins I have a picture of/A: it/H: * yea do you have the youtube thing going is it just a song ok/J: * yea go tell it on a mountain/H: wonder if there was supposed to be like a write up and we are just not getting/A: this is one of the points/J: oh it's not really loading/H: so I guess the church was on this parking lot site/J: first wait the baptist church was called capitol hill?/A: we don't have text either/M: you don't?/A: * nope/J: * of the 1960's movement
1446061350,-86.7854932,36.1640829,154,0.8,5,1,
1446061355,-86.785535,36.1641295,154,0.7,10,1,
1446061360,-86.7855425,36.1641602,154,0.7,15,1,
1446061365,-86.7855496,36.1641712,154,0,20,1,
1446061370,-86.7855543,36.1641665,154,0,25,1,
1446061375,-86.7855543,36.1641665,154,0,30,1,
1446061380,-86.7855543,36.1641665,154,0,35,1,
1446061385,-86.7855543,36.1641665,154,0,40,1,
1446061390,-86.7855543,36.1641665,154,0,45,0,
1446061395,-86.7855543,36.1641665,155,0,50,0,
1446061400,-86.7855543,36.1641665,155,0,55,0,
1446061405,-86.7855543,36.1641665,154,0,60,0,J: strategy sessions non violent the well disciplined/H: was there supposed to be text?/M: it's alright if its yea it might have just been a timing thing like they might not have yea been able to cuz we finished up right away and then we updated/H: * yea/A: so popular Jane/J: I have to have the sound on for the youtube even though I don't..uh well disciplined nashville sit ins served as a model for civil rights demonstrations throughout the south..ok/H: wonder if yea so what's the next/A: walk?/H: yea so what's the next?/A: we go back the way we came/H: this is not I mean I'm not getting everything/A: I only get the pictures/H: oh crap well my phone's dead so lets (inaudible) alright follow you guys/A: ok
1446061410,-86.7855543,36.1641665,154,0,65,0,
1446061415,-86.7855543,36.1641665,154,0,70,0,
1446061420,-86.7855543,36.1641665,154,0,75,0,
1446061425,-86.7855543,36.1641665,154,0,80,0,
1446061430,-86.785554,36.1641594,154,0.3,85,0,
1446061435,-86.7855574,36.1641542,154,0,90,0,
1446061440,-86.7855574,36.1641542,154,0,95,1,
1446061445,-86.7855574,36.1641542,154,0,100,1,
1446061450,-86.7855357,36.1641463,154,0.7,105,1,
1446061455,-86.7855074,36.1641356,153,1.1,110,1,
1446061460,-86.7855006,36.1640872,154,1,115,1,
1446061465,-86.785485,36.1640311,155,1,120,1,H: do you know what the next photo stop is supposed to indicate?/A: it's a historical picture of the first baptist church that we just read about/J: oh cool.. I wonder why it was knocked down/A: they needed a parking lot for all the state bureaucrats/J: paved paradise and put up a parking lot/A: literally tore down god's house/A: the next thing we're going to is rosa l parks boulevard/H: ok/J: we're on that right?/A: we're going to a sign that says that's what it's called/J: oh
1446061470,-86.7854515,36.1639895,156,0.9,125,1,
1446061475,-86.7854123,36.1639455,155,1.1,130,1,
1446061480,-86.7853698,36.1639121,155,0.2,135,1,
1446061485,-86.7853629,36.1639039,155,0.8,140,1,
1446061490,-86.7853343,36.1638387,157,0.6,145,1,
1446061495,-86.7852956,36.1637952,158,1.4,150,1,
1446061500,-86.7852594,36.1637428,159,1.4,155,1,
1446061505,-86.7852304,36.1636932,159,1.2,160,1,
1446061510,-86.7852278,36.1636378,159,0.9,165,1,
1446061515,-86.7852025,36.163592,160,1.1,170,1,
1446061520,-86.7851721,36.1635471,160,1.1,175,1,
1446061525,-86.7851236,36.1635083,159,1.1,180,1,J: take it all in just let it play/H: let it play/A: to be honest it is starting to get a little annoying (laughing)/A: ok this is the next picture/J: rosa l parks so it was named for rosa l parks/H: * wait let me see ok so that's where/J: where?
1446061530,-86.7850783,36.163468,160,1.4,185,1,
1446061535,-86.785042,36.1634111,160,1.2,190,1,
1446061540,-86.7850182,36.1633686,160,0.9,195,1,
1446061545,-86.7849923,36.1633207,160,1.1,200,1,
1446061550,-86.7849688,36.163262,160,1.5,205,1,
1446061555,-86.7849447,36.1632038,160,1.2,210,1,
1446061560,-86.7849276,36.1631559,160,1.2,215,1,
1446061565,-86.7849069,36.1631012,161,1.2,220,1,
1446061570,-86.7848705,36.1630518,161,1.1,225,1,
1446061575,-86.7848673,36.1630421,161,0.2,230,1,
1446061580,-86.7848753,36.1630387,161,0,235,1,
1446061585,-86.7848581,36.163009,162,0.7,240,1,H: where's where's that tree supposed to be?/A: those are the those trees/H: ok great ok/J: where was rosa parks from?/A: montgomery/H: yes/A: do you wanna cross?/J: that way?/A: yea/H: yea might as well/A: or no wait no that's not where we are going my bad/J: that was first performed in uh 1963 and it's by fannie lou hamer/H: right on well we read the one civil rights music piece that talked about how they used like typical gospel and re adjusted with new lyrics to fit whatever the situation was
1446061590,-86.7848607,36.1629946,162,0.4,245,1,
1446061595,-86.7848642,36.1629963,162,0,250,1,
1446061600,-86.7848642,36.1629963,162,0,255,1,
1446061605,-86.7848642,36.1629963,163,0,260,1,
1446061610,-86.7848642,36.1629963,163,0,265,1,
1446061615,-86.7848642,36.1629963,163,0,270,1,
1446061620,-86.7848642,36.1629963,163,0,275,1,
1446061625,-86.7848642,36.1629963,163,0,280,1,
1446061630,-86.7848642,36.1629963,163,0,285,0,
1446061635,-86.7848641,36.1630079,162,0.4,290,0,
1446061640,-86.7848463,36.1630102,162,0,295,0,
1446061645,-86.7848463,36.1630102,162,0,300,0,J: and we were just at a baptist church/H: yea/J: they sing gospel music at baptist churches right?/H: yes they do/H: well I know that our our text did load to ours yea cuz I checked/A: * it did you checked/A: * that's good/J: * that's good/A: oh we missed it/J: you know let this guy buffer (laughing)/H: least I think/A: you really do have the giggles/J: we missed it we just stood here!/J: yea we missed the light/M: (laughing) ahh haha you missed the light because you were on that's great/J: this next song is the golden gospel singers I don't know if that's what it's by or what actually I think the title is oh freedom/H: oh freedom/J: just a guess
1446061650,-86.7848463,36.1630102,162,0,305,0,
1446061655,-86.784835,36.1629965,162,0,310,0,
1446061660,-86.784835,36.1629965,162,0,315,0,
1446061665,-86.784835,36.1629965,163,0,320,0,
1446061670,-86.784835,36.1629965,163,0,325,0,
1446061675,-86.784835,36.1629965,163,0,330,0,
1446061680,-86.784835,36.1629965,163,0,335,0,
1446061685,-86.784835,36.1629965,163,0,340,0,
1446061690,-86.784835,36.1629965,163,0,345,0,
1446061695,-86.784835,36.1629965,163,0,350,1,
1446061700,-86.784835,36.1629965,163,0,355,1,
1446061705,-86.784835,36.1629965,164,0,360,1,J: looks cool with the clouds/A: what?/J: over there/A: does that mean we are good to go/H: * yea/J: * yea/A: there just is no walk sign/H: so where's our next stop?/A: i guess back at the library or close to it/H: ok
1446061710,-86.784835,36.1629965,164,0,365,1,
1446061715,-86.784835,36.1629965,164,0,370,1,
1446061720,-86.784835,36.1629965,163,0,375,1,
1446061725,-86.7848526,36.1629947,163,0,380,1,
1446061730,-86.7848058,36.1629344,164,1.5,385,1,
1446061735,-86.7847723,36.1628862,164,1.6,390,1,
1446061740,-86.7847378,36.1628269,164,1.4,395,1,
1446061745,-86.7847124,36.1627808,165,1.2,400,1,
1446061750,-86.7846737,36.1627249,164,1.3,405,1,
1446061755,-86.7846486,36.162669,164,1.3,410,1,
1446061760,-86.7846139,36.1626053,164,1.4,415,1,
1446061765,-86.7845756,36.1625488,164,1.2,420,1,A: looks like we are going to have to cut across here/H: we're cut across here when it's clear/H: I think we're good/J: it's one way
1446061770,-86.784537,36.1625053,163,1.2,425,1,
1446061775,-86.7844848,36.1624636,163,1.3,430,1,
1446061780,-86.78446,36.1624177,162,1.2,435,1,
1446061785,-86.7844327,36.1623683,163,1.4,440,1,
1446061790,-86.7844086,36.1623204,163,1.3,445,1,
1446061795,-86.7843729,36.162275,163,1,450,1,
1446061800,-86.7843472,36.1622426,162,0.6,455,1,
1446061805,-86.7843166,36.1622417,162,1.2,460,1,
1446061810,-86.7842436,36.1622538,162,1.2,465,1,
1446061815,-86.7841812,36.1622522,162,1,470,1,
1446061820,-86.7841424,36.1622033,161,1.1,475,1,
1446061825,-86.7841279,36.1621484,161,1.2,480,1,H: so some of these stops I saw them recording like an audio layer to so we're gonna have to be able to access that either/A: * we'll see!/J: * oh/H: hopefully I don't know.. I assume that when we log on like from the computer we'll be able to like uh see everything for the purposes of writing our papers and what not/J: * get the missing information/J: oh that's true though we'll be able to go back and/H: yea yea which is the nice thing about livetrekker actually/H: I think livetrekker's like design is to like go back and look at trips you've already done and share share things/J: well that's what we're doing/H: yea that's true/H: just trying to recreate it/J: the youtube video has a montage of protestors with signs just so you know/H: like from the sit in movement/J: yea presumably yea civil rights
1446061830,-86.7841059,36.1620906,160,1.2,485,1,
1446061835,-86.7840744,36.1620308,160,1.2,490,1,
1446061840,-86.7840355,36.1619863,159,1.2,495,1,
1446061845,-86.7839971,36.161937,158,1.2,500,1,
1446061850,-86.7839559,36.1618805,157,1.1,505,1,
1446061855,-86.7839182,36.1618328,157,1.3,510,1,
1446061860,-86.7838866,36.1617825,157,1.2,515,1,
1446061865,-86.7838516,36.1617289,157,1.3,520,1,
1446061870,-86.7838053,36.1617017,156,1.1,525,1,
1446061875,-86.7837504,36.161721,155,1.1,530,1,
1446061880,-86.7836825,36.1617616,155,1.2,540,0,J: we got an ad/H: oh no/H: sam cooke/A: this is different/H: change is gonna come.. this is a famous song
1446061890,-86.7835731,36.161814,155,0.8,545,0,
1446061895,-86.7835235,36.1618341,155,0.9,550,0,
