time,x,y
0,1963.94,1067.65
0.51,1963.94,1067.65
0.95,1961.03,1067.65
1,1958.11,1067.65
1.05,1955.2,1065.69
1.35,1958.11,1065.69
1.38,1961.03,1065.69
1.41,1963.94,1065.69
1.51,1966.85,1065.69
2.51,1966.85,1065.69
3.33,1963.94,1065.69
3.36,1958.11,1065.69
3.38,1955.2,1065.69
3.41,1952.28,1065.69
3.45,1949.37,1065.69
3.52,1949.37,1065.69
3.63,1952.28,1065.69
3.7,1955.2,1065.69
3.73,1958.11,1065.69
3.76,1961.03,1065.69
3.78,1963.94,1065.69
3.8,1969.77,1065.69
3.81,1975.6,1065.69
3.83,1978.51,1065.69
3.86,1981.42,1065.69
3.95,1984.34,1065.69
4.51,1984.34,1065.69
5.51,1984.34,1065.69
6.51,1984.34,1065.69
7.51,1984.34,1065.69
7.55,1981.42,1065.69
7.58,1978.51,1065.69
7.6,1972.68,1065.69
7.61,1966.85,1065.69
7.63,1963.94,1065.69
7.65,1961.03,1063.73
7.66,1958.11,1063.73
7.9,1961.03,1063.73
7.93,1963.94,1063.73
7.96,1966.85,1063.73
8,1969.77,1065.69
8.01,1972.68,1065.69
8.03,1975.6,1065.69
8.05,1981.42,1065.69
8.06,1984.34,1065.69
8.08,1990.16,1065.69
8.1,1993.08,1065.69
8.11,1995.99,1065.69
8.15,1998.91,1065.69
8.16,2001.82,1065.69
8.18,2004.73,1065.69
8.51,2004.73,1065.69
9.51,2004.73,1065.69
10.51,2004.73,1065.69
11.51,2004.73,1065.69
12.51,2004.73,1065.69
13.51,2004.73,1065.69
14.51,2004.73,1065.69
15.51,2004.73,1065.69
16.51,2004.73,1065.69
17.51,2004.73,1065.69
18.51,2004.73,1065.69
19.52,2004.73,1065.69
19.66,1998.91,1065.69
19.68,1995.99,1065.69
19.7,1981.42,1065.69
19.71,1972.68,1065.69
19.73,1966.85,1065.69
19.75,1963.94,1065.69
19.76,1958.11,1065.69
19.78,1955.2,1065.69
19.8,1952.28,1065.69
19.81,1952.28,1063.73
19.91,1955.2,1063.73
19.95,1961.03,1063.73
19.96,1966.85,1063.73
19.98,1972.68,1065.69
20,1981.42,1065.69
20.01,1987.25,1065.69
20.03,1993.08,1065.69
20.05,1995.99,1067.65
20.06,1998.91,1067.65
20.08,2001.82,1067.65
20.51,2001.82,1067.65
21.51,2001.82,1067.65
22.51,2001.82,1067.65
23.51,2001.82,1067.65
24.51,2001.82,1067.65
25.51,2001.82,1067.65
26.51,2001.82,1067.65
27.51,2001.82,1067.65
28.51,2001.82,1067.65
29.2,1995.99,1067.65
29.21,1987.25,1067.65
29.23,1981.42,1067.65
29.25,1969.77,1067.65
29.26,1963.94,1067.65
29.28,1958.11,1067.65
29.31,1955.2,1067.65
29.48,1958.11,1067.65
29.5,1963.94,1067.65
29.51,1969.77,1067.65
29.53,1975.6,1067.65
29.55,1981.42,1067.65
29.56,1987.25,1067.65
29.58,1990.16,1067.65
29.6,1995.99,1067.65
29.63,1998.91,1067.65
29.7,2001.82,1067.65
29.76,2001.82,1069.61
30.51,2001.82,1069.61
31.51,2001.82,1069.61
32.51,2001.82,1069.61
33.51,2001.82,1069.61
34.51,2001.82,1069.61
35.51,2001.82,1069.61
36.51,2001.82,1069.61
36.55,1998.91,1069.61
36.58,1995.99,1069.61
36.6,1993.08,1069.61
36.62,1990.16,1069.61
36.63,1987.25,1069.61
36.65,1981.42,1069.61
36.68,1978.51,1069.61
36.7,1975.6,1067.65
36.91,1972.68,1067.65
37.06,1975.6,1067.65
37.08,1978.51,1067.65
37.1,1987.25,1067.65
37.11,1990.16,1067.65
37.13,1995.99,1067.65
37.15,1998.91,1067.65
37.18,2001.82,1067.65
37.51,2001.82,1067.65
38.51,2001.82,1067.65
39.51,2001.82,1067.65
40.51,2001.82,1067.65
41.51,2001.82,1067.65
41.83,1998.91,1067.65
41.85,1995.99,1067.65
41.88,1993.08,1067.65
41.9,1990.16,1067.65
41.93,1987.25,1067.65
41.95,1984.34,1067.65
41.96,1981.42,1065.69
41.98,1975.6,1065.69
42,1972.68,1065.69
42.01,1969.77,1065.69
42.13,1972.68,1065.69
42.15,1975.6,1065.69
42.16,1981.42,1065.69
42.18,1987.25,1065.69
42.2,1993.08,1065.69
42.21,1998.91,1065.69
42.23,2001.82,1065.69
42.25,2004.73,1067.65
42.28,2007.65,1067.65
42.51,2007.65,1067.65
42.55,2004.73,1067.65
42.58,1998.91,1067.65
42.6,1995.99,1067.65
42.61,1993.08,1067.65
42.65,1987.25,1065.69
42.7,1984.34,1065.69
43.51,1984.34,1065.69
44.52,1984.34,1065.69
45.51,1984.34,1065.69
46.51,1984.34,1065.69
47.51,1984.34,1065.69
48.51,1984.34,1065.69
49.52,1984.34,1065.69
49.8,1990.16,1065.69
49.81,1998.91,1065.69
49.83,2007.65,1067.65
49.85,2013.48,1069.61
49.86,2019.3,1069.61
49.88,2022.22,1069.61
49.9,2025.13,1069.61
50.11,2022.22,1069.61
50.13,2016.39,1069.61
50.15,2010.56,1069.61
50.17,2004.73,1069.61
50.18,1998.91,1069.61
50.2,1993.08,1069.61
50.22,1990.16,1069.61
50.23,1987.25,1069.61
50.25,1984.34,1067.65
50.28,1981.42,1067.65
50.32,1978.51,1065.69
50.52,1978.51,1065.69
51.51,1978.51,1065.69
52.51,1978.51,1065.69
53.51,1978.51,1065.69
54.51,1981.42,1065.69
54.53,1984.34,1065.69
54.55,1987.25,1065.69
54.56,1990.16,1065.69
54.6,1993.08,1065.69
54.63,1995.99,1065.69
54.65,1998.91,1065.69
54.68,2001.82,1065.69
54.8,1998.91,1065.69
54.81,1995.99,1065.69
54.83,1990.16,1065.69
54.85,1987.25,1063.73
54.86,1981.42,1063.73
54.88,1978.51,1063.73
54.9,1975.6,1063.73
54.93,1972.68,1063.73
54.97,1969.77,1063.73
55.51,1969.77,1063.73
56.51,1969.77,1063.73
57.51,1969.77,1063.73
58.2,1966.85,1063.73
58.21,1963.94,1063.73
58.23,1955.2,1063.73
58.25,1949.37,1063.73
58.26,1943.54,1063.73
58.28,1940.63,1063.73
58.3,1934.8,1061.77
58.32,1928.97,1061.77
58.33,1926.06,1061.77
58.35,1923.15,1061.77
58.36,1920.23,1059.81
58.52,1920.23,1059.81
58.58,1923.15,1061.77
58.6,1926.06,1061.77
58.61,1931.89,1063.73
58.63,1937.72,1063.73
58.65,1943.54,1065.69
58.66,1949.37,1065.69
58.68,1952.28,1065.69
58.71,1955.2,1067.65
59.52,1955.2,1067.65
60.52,1955.2,1067.65
61.51,1955.2,1067.65
62.51,1955.2,1067.65
63.52,1955.2,1067.65
64.51,1955.2,1067.65
65.52,1955.2,1067.65
