time,x,y
0,1599.71,1026.51
0.5,1599.71,1026.51
0.57,1593.88,1034.34
0.6,1593.88,1032.38
0.62,1596.79,1032.38
0.64,1596.79,1030.43
0.67,1596.79,1028.47
0.69,1596.79,1026.51
0.7,1599.71,1026.51
0.74,1599.71,1024.55
0.8,1602.62,1022.59
1.5,1602.62,1022.59
1.75,1602.62,1024.55
1.77,1599.71,1026.51
1.79,1599.71,1030.43
1.8,1596.79,1032.38
1.82,1596.79,1034.34
1.84,1593.88,1036.3
1.92,1593.88,1038.26
1.99,1593.88,1036.3
2.02,1593.88,1034.34
2.04,1593.88,1032.38
2.05,1593.88,1030.43
2.07,1596.79,1030.43
2.09,1596.79,1028.47
2.12,1596.79,1026.51
2.15,1599.71,1024.55
2.5,1599.71,1026.51
2.52,1596.79,1032.38
2.54,1590.97,1040.22
2.56,1585.14,1046.1
2.57,1579.31,1053.93
2.59,1579.31,1055.89
2.6,1576.4,1055.89
2.7,1576.4,1053.93
2.74,1579.31,1051.97
2.75,1579.31,1050.02
2.77,1582.22,1048.06
2.79,1582.22,1046.1
2.8,1585.14,1044.14
2.82,1585.14,1042.18
2.84,1588.05,1040.22
2.85,1588.05,1038.26
2.87,1590.97,1038.26
2.89,1590.97,1036.3
2.9,1593.88,1034.34
2.94,1593.88,1032.38
3.22,1593.88,1034.34
3.27,1593.88,1036.3
3.29,1593.88,1038.26
3.3,1593.88,1042.18
3.32,1593.88,1046.1
3.34,1590.97,1048.06
3.35,1590.97,1050.02
3.37,1590.97,1051.97
3.4,1588.05,1051.97
3.5,1588.05,1051.97
3.52,1588.05,1050.02
3.55,1588.05,1048.06
3.57,1588.05,1046.1
3.59,1588.05,1042.18
3.6,1590.97,1038.26
3.62,1593.88,1036.3
3.64,1593.88,1034.34
3.65,1593.88,1032.38
3.67,1593.88,1030.43
3.69,1596.79,1028.47
3.72,1596.79,1026.51
3.75,1599.71,1024.55
4.07,1599.71,1026.51
4.14,1599.71,1028.47
4.15,1596.79,1030.43
4.17,1596.79,1032.38
4.19,1596.79,1034.34
4.2,1596.79,1036.3
4.22,1596.79,1038.26
4.24,1593.88,1040.22
4.3,1593.88,1044.14
4.32,1590.97,1046.1
4.34,1590.97,1048.06
4.35,1590.97,1050.02
4.39,1588.05,1050.02
4.46,1588.05,1048.06
4.47,1588.05,1046.1
4.49,1588.05,1044.14
4.5,1590.97,1040.22
4.52,1590.97,1038.26
4.54,1593.88,1034.34
4.55,1593.88,1032.38
4.57,1596.79,1030.43
4.59,1596.79,1028.47
4.6,1596.79,1026.51
4.65,1599.71,1024.55
4.99,1599.71,1026.51
5.05,1599.71,1028.47
5.07,1599.71,1032.38
5.09,1599.71,1034.34
5.1,1599.71,1036.3
5.12,1599.71,1038.26
5.14,1599.71,1042.18
5.15,1596.79,1042.18
5.17,1596.79,1044.14
5.2,1596.79,1046.1
5.25,1596.79,1048.06
5.34,1596.79,1046.1
5.37,1596.79,1044.14
5.39,1596.79,1042.18
5.4,1596.79,1038.26
5.42,1596.79,1036.3
5.44,1596.79,1032.38
5.45,1596.79,1028.47
5.47,1596.79,1026.51
5.49,1596.79,1022.59
5.5,1596.79,1020.63
5.52,1599.71,1018.67
5.54,1599.71,1016.71
5.55,1599.71,1014.75
5.57,1602.62,1014.75
5.87,1602.62,1016.71
6.05,1602.62,1018.67
6.09,1602.62,1020.63
6.1,1599.71,1022.59
6.12,1599.71,1024.55
6.14,1599.71,1026.51
6.15,1596.79,1028.47
6.19,1596.79,1030.43
6.22,1593.88,1034.34
6.24,1593.88,1036.3
