time,x,y
0,2884.72,615.12
0.16,2881.81,619.04
0.18,2878.89,622.96
0.2,2875.98,628.83
0.21,2873.06,632.75
0.23,2870.15,634.71
0.25,2870.15,638.63
0.26,2867.24,638.63
0.28,2867.24,640.59
0.3,2864.32,642.55
0.31,2864.32,646.46
0.33,2861.41,646.46
0.35,2861.41,648.42
0.36,2855.58,656.26
0.38,2855.58,660.18
0.4,2852.67,664.1
0.41,2849.75,669.97
0.43,2849.75,675.85
0.45,2849.75,677.81
0.47,2846.84,681.73
0.5,2843.93,693.48
0.51,2843.93,699.36
0.52,2838.1,785.55
0.53,2838.1,789.47
0.55,2838.1,801.22
0.57,2838.1,809.06
0.58,2838.1,812.98
0.6,2835.18,814.94
0.65,2835.18,818.86
0.82,2835.18,816.9
0.83,2835.18,814.94
0.85,2835.18,811.02
0.87,2835.18,807.1
0.89,2835.18,803.18
0.9,2835.18,795.35
0.92,2835.18,789.47
0.94,2835.18,787.51
0.95,2835.18,783.59
0.97,2835.18,777.72
0.98,2835.18,773.8
1,2835.18,769.88
1.02,2835.18,767.92
1.03,2832.27,765.96
1.05,2826.44,752.25
1.07,2823.53,750.29
1.08,2823.53,748.33
1.12,2820.61,748.33
1.13,2814.79,758.13
1.15,2806.04,781.63
1.17,2800.22,799.27
1.18,2800.22,801.22
1.2,2800.22,807.1
1.22,2797.3,826.69
1.23,2797.3,830.61
1.25,2797.3,832.57
1.28,2794.39,832.57
1.3,2794.39,830.61
1.32,2794.39,824.73
1.33,2794.39,818.86
1.35,2794.39,812.98
1.37,2794.39,807.1
1.38,2797.3,799.27
1.4,2797.3,797.31
1.48,2800.22,818.86
1.5,2800.22,826.69
1.53,2800.22,832.57
1.56,2803.13,842.36
1.58,2803.13,844.32
1.6,2806.04,842.36
1.62,2808.96,838.45
1.64,2811.87,836.49
1.65,2814.79,832.57
1.67,2817.7,830.61
1.73,2817.7,836.49
1.75,2814.79,848.24
1.77,2811.87,856.08
1.79,2808.96,867.83
1.82,2800.22,893.3
1.83,2800.22,897.21
1.87,2800.22,899.17
1.92,2797.3,901.13
1.95,2797.3,895.26
1.97,2797.3,887.42
1.98,2803.13,859.99
2,2808.96,832.57
2.02,2811.87,824.73
2.04,2814.79,816.9
2.07,2823.53,791.43
2.08,2823.53,787.51
2.1,2823.53,785.55
2.12,2823.53,781.63
2.15,2826.44,777.72
2.17,2826.44,775.76
2.22,2826.44,777.72
2.23,2826.44,781.63
2.25,2826.44,793.39
2.27,2826.44,799.27
2.28,2820.61,820.81
2.3,2820.61,828.65
2.32,2814.79,858.04
2.33,2811.87,867.83
2.35,2808.96,883.5
2.37,2806.04,891.34
2.39,2806.04,893.3
2.42,2806.04,891.34
2.43,2806.04,887.42
2.45,2814.79,871.75
2.47,2817.7,869.79
2.48,2823.53,856.08
2.5,2826.44,850.2
2.52,2826.44,848.24
2.54,2829.36,846.28
2.58,2826.44,856.08
2.6,2823.53,858.04
2.62,2820.61,867.83
2.64,2820.61,871.75
2.65,2814.79,881.54
2.67,2814.79,885.46
2.69,2814.79,887.42
2.75,2814.79,883.5
2.77,2814.79,879.58
2.79,2817.7,871.75
2.8,2823.53,859.99
2.82,2829.36,852.16
2.83,2829.36,850.2
2.9,2829.36,854.12
2.92,2829.36,863.91
2.93,2826.44,865.87
2.95,2820.61,879.58
2.97,2820.61,881.54
2.98,2817.7,889.38
3.02,2817.7,891.34
3.05,2817.7,889.38
3.07,2820.61,885.46
3.08,2823.53,881.54
3.1,2823.53,879.58
3.12,2826.44,877.63
3.13,2826.44,875.67
3.15,2829.36,875.67
3.19,2829.36,877.63
3.2,2829.36,881.54
3.22,2823.53,895.26
3.23,2820.61,905.05
3.25,2817.7,912.89
3.27,2817.7,914.85
3.28,2817.7,916.8
3.33,2820.61,912.89
3.35,2820.61,908.97
3.37,2826.44,903.09
3.38,2832.27,895.26
3.4,2832.27,893.3
3.42,2835.18,891.34
3.43,2835.18,889.38
3.47,2835.18,891.34
3.48,2829.36,897.21
3.5,2823.53,907.01
3.52,2820.61,908.97
3.53,2814.79,918.76
3.55,2811.87,924.64
3.57,2811.87,926.6
3.6,2811.87,924.64
3.62,2811.87,922.68
3.63,2811.87,914.85
3.65,2814.79,908.97
3.67,2820.61,899.17
3.68,2820.61,897.21
3.7,2823.53,895.26
3.8,2820.61,905.05
3.82,2817.7,910.93
3.83,2814.79,918.76
3.85,2811.87,920.72
3.87,2811.87,924.64
3.88,2811.87,926.6
3.9,2811.87,928.56
3.98,2811.87,926.6
4,2811.87,924.64
4.02,2811.87,920.72
4.04,2811.87,914.85
4.05,2814.79,901.13
4.07,2817.7,883.5
4.08,2820.61,869.79
4.1,2823.53,865.87
4.12,2823.53,859.99
4.13,2826.44,842.36
4.15,2829.36,836.49
4.17,2829.36,832.57
4.18,2829.36,830.61
4.2,2829.36,826.69
4.22,2832.27,824.73
4.32,2829.36,838.45
4.33,2823.53,846.28
4.35,2823.53,852.16
4.37,2820.61,858.04
4.38,2817.7,875.67
4.4,2814.79,881.54
4.42,2814.79,887.42
4.44,2814.79,889.38
4.46,2814.79,893.3
4.48,2814.79,903.09
4.5,2811.87,905.05
4.52,2811.87,907.01
4.55,2808.96,910.93
4.63,2808.96,908.97
4.65,2808.96,905.05
4.67,2811.87,901.13
4.7,2811.87,899.17
4.72,2814.79,893.3
4.73,2817.7,881.54
4.75,2820.61,865.87
4.77,2823.53,858.04
4.79,2826.44,848.24
4.82,2829.36,836.49
4.87,2829.36,848.24
4.88,2820.61,873.71
4.9,2817.7,883.5
4.92,2814.79,895.26
4.94,2811.87,897.21
4.95,2811.87,899.17
4.97,2811.87,901.13
5.02,2811.87,899.17
5.03,2811.87,897.21
5.05,2814.79,887.42
5.07,2817.7,879.58
5.08,2817.7,873.71
5.1,2820.61,873.71
5.12,2823.53,869.79
5.15,2823.53,871.75
5.17,2820.61,877.63
5.18,2820.61,879.58
5.2,2817.7,881.54
5.22,2811.87,887.42
5.3,2811.87,883.5
5.32,2811.87,881.54
5.33,2811.87,875.67
5.35,2811.87,873.71
5.37,2811.87,871.75
5.38,2814.79,867.83
5.42,2814.79,865.87
5.45,2814.79,863.91
5.52,2814.79,865.87
5.53,2814.79,867.83
5.55,2806.04,881.54
5.57,2803.13,891.34
5.58,2800.22,897.21
5.6,2797.3,901.13
5.63,2794.39,905.05
5.72,2794.39,897.21
5.73,2794.39,891.34
5.75,2794.39,865.87
5.77,2794.39,846.28
5.78,2794.39,773.8
5.8,2820.61,671.93
5.82,2838.1,624.92
5.83,2846.84,607.29
5.85,2849.75,599.45
5.87,2852.67,591.61
5.9,2858.49,589.65
5.92,2858.49,597.49
5.94,2858.49,603.37
5.95,2846.84,630.79
5.97,2826.44,693.48
5.98,2820.61,726.78
6,2817.7,748.33
6.02,2814.79,756.17
6.04,2814.79,764
6.05,2814.79,773.8
6.1,2814.79,771.84
6.12,2817.7,765.96
6.14,2820.61,764
6.15,2826.44,758.13
6.17,2829.36,756.17
6.23,2829.36,762.04
6.25,2826.44,781.63
6.27,2823.53,795.35
6.29,2814.79,816.9
6.32,2806.04,850.2
6.33,2806.04,852.16
6.35,2806.04,854.12
6.37,2806.04,852.16
6.38,2808.96,844.32
6.4,2814.79,838.45
6.42,2820.61,832.57
6.44,2823.53,830.61
6.46,2826.44,826.69
6.48,2829.36,824.73
6.52,2829.36,828.65
6.54,2829.36,836.49
6.57,2823.53,854.12
6.58,2823.53,856.08
6.65,2826.44,846.28
6.67,2829.36,838.45
6.69,2832.27,836.49
6.71,2835.18,828.65
6.73,2841.01,814.94
6.75,2843.93,811.02
6.77,2843.93,809.06
6.8,2843.93,807.1
6.82,2843.93,811.02
6.84,2843.93,812.98
6.85,2838.1,822.77
6.87,2835.18,828.65
6.89,2835.18,830.61
6.9,2835.18,832.57
6.97,2835.18,818.86
6.98,2835.18,789.47
7,2841.01,734.62
7.02,2846.84,715.03
7.03,2852.67,697.4
7.05,2864.32,666.05
7.07,2867.24,658.22
7.1,2870.15,658.22
7.13,2870.15,662.14
7.15,2867.24,671.93
7.17,2864.32,683.69
7.18,2861.41,691.52
7.2,2858.49,701.32
7.22,2846.84,728.74
7.23,2838.1,744.41
7.25,2832.27,758.13
7.27,2826.44,767.92
7.28,2823.53,777.72
7.3,2811.87,799.27
7.32,2808.96,805.14
7.33,2806.04,809.06
7.4,2806.04,807.1
7.42,2808.96,805.14
7.43,2811.87,803.18
7.45,2814.79,799.27
7.47,2817.7,797.31
7.48,2820.61,797.31
7.52,2820.61,797.31
7.53,2820.61,799.27
7.55,2814.79,803.18
7.57,2811.87,811.02
7.58,2808.96,812.98
7.6,2803.13,820.81
7.62,2803.13,822.77
7.63,2800.22,822.77
7.65,2800.22,824.73
7.7,2800.22,822.77
7.72,2803.13,818.86
7.73,2806.04,812.98
7.75,2806.04,809.06
7.77,2808.96,809.06
7.78,2808.96,807.1
7.82,2806.04,811.02
7.83,2800.22,818.86
7.85,2797.3,824.73
7.87,2797.3,826.69
7.88,2791.48,842.36
7.9,2788.56,846.28
7.92,2788.56,848.24
7.95,2788.56,850.2
8.03,2788.56,848.24
8.05,2788.56,838.45
8.07,2791.48,828.65
8.08,2797.3,818.86
8.1,2797.3,814.94
8.12,2800.22,811.02
8.15,2803.13,807.1
8.25,2803.13,811.02
8.27,2803.13,812.98
8.29,2800.22,818.86
8.3,2797.3,834.53
8.32,2791.48,844.32
8.34,2791.48,846.28
8.35,2788.56,852.16
8.37,2788.56,854.12
8.4,2788.56,856.08
8.48,2788.56,844.32
8.5,2788.56,838.45
8.52,2791.48,834.53
8.53,2791.48,830.61
8.55,2797.3,824.73
8.57,2797.3,822.77
8.6,2797.3,824.73
8.62,2797.3,826.69
8.63,2794.39,842.36
8.65,2788.56,854.12
8.67,2785.65,859.99
8.68,2785.65,861.95
8.72,2782.73,865.87
8.75,2782.73,863.91
8.77,2782.73,859.99
8.78,2785.65,850.2
8.8,2794.39,836.49
8.82,2800.22,826.69
8.83,2806.04,816.9
8.87,2808.96,814.94
8.92,2808.96,816.9
8.93,2806.04,818.86
8.95,2803.13,822.77
8.97,2794.39,840.4
8.99,2791.48,846.28
9,2788.56,848.24
9.02,2788.56,850.2
9.1,2788.56,846.28
9.12,2791.48,842.36
9.13,2791.48,840.4
9.15,2794.39,834.53
9.17,2797.3,832.57
9.19,2797.3,830.61
9.25,2797.3,832.57
9.27,2797.3,836.49
9.28,2794.39,840.4
9.3,2788.56,850.2
9.32,2785.65,854.12
9.33,2785.65,856.08
9.37,2785.65,858.04
9.42,2785.65,856.08
9.44,2785.65,852.16
9.45,2788.56,846.28
9.47,2794.39,834.53
9.48,2800.22,826.69
9.5,2800.22,822.77
9.52,2803.13,820.81
9.62,2803.13,824.73
9.63,2794.39,838.45
9.65,2791.48,846.28
9.67,2788.56,856.08
9.69,2785.65,859.99
9.7,2782.73,867.83
9.72,2779.82,873.71
9.73,2779.82,875.67
9.8,2779.82,873.71
9.82,2779.82,865.87
9.84,2779.82,858.04
9.85,2785.65,832.57
9.87,2788.56,820.81
9.88,2791.48,814.94
9.9,2794.39,801.22
9.92,2797.3,797.31
10.03,2797.3,799.27
10.05,2797.3,811.02
10.07,2794.39,816.9
10.08,2791.48,826.69
10.1,2791.48,830.61
10.12,2788.56,842.36
10.14,2788.56,844.32
10.17,2785.65,854.12
10.2,2782.73,856.08
10.31,2782.73,854.12
10.33,2788.56,832.57
10.35,2794.39,824.73
10.37,2797.3,818.86
10.38,2797.3,816.9
10.4,2797.3,814.94
10.47,2797.3,818.86
10.48,2794.39,830.61
10.5,2791.48,838.45
10.52,2788.56,842.36
10.53,2788.56,848.24
10.55,2785.65,854.12
10.57,2785.65,856.08
10.67,2785.65,850.2
10.69,2788.56,848.24
10.7,2791.48,842.36
10.72,2797.3,832.57
10.73,2800.22,826.69
10.75,2803.13,822.77
10.87,2803.13,830.61
10.88,2797.3,842.36
10.9,2794.39,848.24
10.92,2791.48,856.08
10.93,2788.56,856.08
10.95,2788.56,858.04
10.97,2788.56,859.99
11.04,2788.56,856.08
11.07,2800.22,832.57
11.08,2803.13,824.73
11.1,2806.04,822.77
11.12,2808.96,818.86
11.13,2808.96,816.9
11.21,2808.96,818.86
11.24,2806.04,828.65
11.25,2803.13,836.49
11.27,2800.22,840.4
11.28,2800.22,850.2
11.31,2797.3,854.12
11.33,2797.3,858.04
11.35,2797.3,867.83
11.37,2794.39,869.79
11.44,2794.39,865.87
11.46,2794.39,858.04
11.48,2803.13,832.57
11.5,2808.96,822.77
11.52,2808.96,820.81
11.54,2811.87,814.94
11.57,2811.87,812.98
11.65,2811.87,816.9
11.67,2811.87,824.73
11.69,2808.96,826.69
11.71,2806.04,832.57
11.73,2800.22,848.24
11.75,2800.22,852.16
11.77,2797.3,852.16
11.79,2797.3,856.08
11.82,2797.3,858.04
11.87,2797.3,856.08
11.88,2797.3,850.2
11.9,2800.22,844.32
11.92,2803.13,836.49
11.93,2803.13,832.57
11.95,2808.96,824.73
11.97,2808.96,822.77
11.98,2811.87,818.86
12.07,2811.87,820.81
12.08,2808.96,826.69
12.1,2803.13,832.57
12.12,2797.3,842.36
12.14,2794.39,846.28
12.15,2788.56,856.08
12.17,2788.56,859.99
12.18,2785.65,861.95
12.22,2785.65,863.91
12.28,2785.65,861.95
12.3,2785.65,856.08
12.32,2788.56,850.2
12.33,2791.48,844.32
12.35,2794.39,842.36
12.37,2797.3,838.45
12.38,2797.3,832.57
12.4,2800.22,832.57
12.42,2800.22,830.61
12.48,2800.22,832.57
12.5,2800.22,836.49
12.52,2800.22,838.45
12.53,2797.3,842.36
12.55,2794.39,846.28
12.57,2791.48,848.24
12.58,2791.48,850.2
12.62,2791.48,852.16
12.65,2791.48,848.24
12.67,2791.48,842.36
12.68,2791.48,840.4
12.71,2794.39,836.49
12.73,2800.22,816.9
12.75,2803.13,814.94
12.77,2803.13,812.98
12.79,2806.04,812.98
12.8,2806.04,811.02
12.82,2806.04,809.06
12.88,2806.04,811.02
12.9,2806.04,814.94
12.92,2806.04,820.81
12.94,2803.13,824.73
12.96,2800.22,832.57
12.98,2791.48,850.2
13,2788.56,856.08
13.02,2788.56,859.99
13.04,2785.65,863.91
13.05,2785.65,867.83
13.1,2785.65,865.87
13.15,2785.65,854.12
13.17,2788.56,846.28
13.19,2788.56,844.32
13.21,2791.48,836.49
13.23,2794.39,824.73
13.32,2794.39,828.65
13.33,2794.39,834.53
13.35,2794.39,838.45
13.37,2791.48,844.32
13.4,2785.65,856.08
13.5,2785.65,854.12
13.52,2785.65,850.2
13.54,2785.65,846.28
13.57,2785.65,836.49
13.62,2785.65,834.53
13.67,2785.65,836.49
13.68,2785.65,838.45
13.7,2785.65,840.4
13.72,2782.73,850.2
13.73,2782.73,854.12
13.75,2779.82,856.08
13.79,2779.82,858.04
13.82,2779.82,859.99
13.83,2779.82,861.95
13.9,2779.82,848.24
13.92,2785.65,840.4
13.93,2788.56,832.57
13.95,2791.48,826.69
13.97,2791.48,824.73
13.98,2794.39,822.77
14.07,2794.39,836.49
14.08,2788.56,850.2
14.1,2788.56,854.12
14.12,2788.56,858.04
14.15,2782.73,871.75
14.17,2782.73,875.67
14.18,2779.82,877.63
14.2,2779.82,881.54
14.22,2779.82,883.5
14.25,2779.82,881.54
14.27,2779.82,873.71
14.28,2782.73,865.87
14.3,2782.73,859.99
14.32,2788.56,848.24
14.33,2794.39,838.45
14.35,2794.39,836.49
14.37,2797.3,830.61
14.4,2800.22,824.73
14.5,2800.22,828.65
14.52,2800.22,832.57
14.54,2797.3,834.53
14.57,2791.48,850.2
14.58,2788.56,854.12
14.62,2788.56,856.08
14.73,2791.48,844.32
14.75,2794.39,836.49
14.77,2797.3,834.53
14.79,2800.22,828.65
14.82,2803.13,820.81
14.83,2806.04,818.86
14.87,2806.04,816.9
14.92,2806.04,822.77
14.93,2803.13,826.69
14.95,2800.22,828.65
14.97,2788.56,848.24
14.98,2785.65,858.04
15,2782.73,865.87
15.02,2779.82,867.83
