time,x,y
0,2704.06,771.84
0.24,2701.15,775.76
0.26,2698.23,779.68
0.27,2695.32,789.47
0.29,2692.4,793.39
0.31,2686.58,803.18
0.32,2686.58,807.1
0.34,2683.66,807.1
0.36,2683.66,809.06
0.39,2683.66,807.1
0.41,2683.66,805.14
0.42,2686.58,801.22
0.44,2695.32,789.47
0.46,2698.23,785.55
0.47,2706.97,773.8
0.49,2712.8,767.92
0.51,2712.8,765.96
0.53,2715.72,765.96
0.56,2718.63,764
0.57,2718.63,769.88
0.59,2715.72,773.8
0.61,2709.89,783.59
0.62,2709.89,785.55
0.64,2706.97,787.51
0.69,2706.97,783.59
0.71,2706.97,781.63
0.72,2712.8,773.8
0.74,2715.72,769.88
0.77,2718.63,767.92
0.83,2718.63,769.88
0.84,2706.97,777.72
0.86,2701.15,783.59
0.88,2701.15,787.51
0.89,2695.32,789.47
0.97,2695.32,785.55
0.99,2695.32,781.63
1.02,2695.32,777.72
1.14,2695.32,779.68
1.18,2695.32,781.63
1.19,2692.4,783.59
1.26,2692.4,781.63
1.28,2692.4,777.72
1.29,2701.15,764
1.31,2706.97,758.13
1.32,2709.89,752.25
1.34,2712.8,750.29
1.36,2715.72,748.33
1.42,2704.06,762.04
1.44,2698.23,769.88
1.46,2695.32,771.84
1.49,2689.49,777.72
1.51,2689.49,777.72
1.57,2701.15,764
1.59,2701.15,762.04
1.61,2706.97,758.13
1.62,2706.97,756.17
1.66,2706.97,758.13
1.68,2704.06,762.04
1.69,2689.49,779.68
1.71,2686.58,785.55
1.72,2677.84,795.35
1.74,2677.84,799.27
1.76,2674.92,799.27
1.8,2674.92,797.31
1.82,2692.4,777.72
1.84,2698.23,775.76
1.86,2701.15,771.84
1.87,2701.15,769.88
1.94,2698.23,779.68
1.96,2695.32,781.63
1.97,2689.49,791.43
1.99,2686.58,793.39
2.02,2686.58,795.35
2.07,2686.58,791.43
2.09,2689.49,787.51
2.11,2692.4,783.59
2.13,2692.4,781.63
2.14,2695.32,777.72
2.16,2698.23,777.72
2.21,2698.23,779.68
2.22,2689.49,789.47
2.24,2680.75,801.22
2.26,2680.75,803.18
2.27,2677.84,807.1
2.29,2677.84,809.06
2.38,2677.84,807.1
2.39,2683.66,801.22
2.41,2686.58,799.27
2.43,2686.58,797.31
2.47,2680.75,805.14
2.49,2677.84,812.98
2.51,2672.01,818.86
2.52,2663.27,826.69
2.55,2663.27,828.65
2.57,2663.27,830.61
2.59,2663.27,828.65
2.61,2666.18,818.86
2.62,2669.09,814.94
2.64,2677.84,805.14
2.66,2677.84,803.18
2.68,2680.75,801.22
2.69,2683.66,801.22
2.76,2680.75,803.18
2.77,2672.01,812.98
2.79,2669.09,816.9
2.81,2660.35,822.77
2.82,2660.35,824.73
2.86,2660.35,820.81
2.88,2660.35,816.9
2.91,2674.92,801.22
2.92,2680.75,797.31
2.94,2680.75,793.39
2.96,2683.66,793.39
3.02,2680.75,795.35
3.04,2680.75,797.31
3.06,2672.01,807.1
3.07,2669.09,809.06
3.09,2666.18,811.02
3.11,2666.18,812.98
3.16,2669.09,809.06
3.17,2669.09,805.14
3.19,2674.92,799.27
3.24,2677.84,795.35
3.27,2677.84,797.31
3.29,2674.92,801.22
3.31,2663.27,811.02
3.32,2657.44,816.9
3.34,2657.44,818.86
3.36,2654.52,820.81
3.41,2657.44,818.86
3.42,2660.35,814.94
3.44,2669.09,807.1
3.46,2672.01,805.14
3.49,2677.84,801.22
3.51,2677.84,801.22
3.57,2666.18,811.02
3.59,2663.27,814.94
3.61,2660.35,816.9
3.63,2657.44,818.86
3.64,2657.44,820.81
3.69,2663.27,816.9
3.71,2666.18,812.98
3.72,2677.84,805.14
3.74,2683.66,799.27
3.76,2683.66,797.31
3.77,2689.49,793.39
3.81,2689.49,791.43
3.84,2686.58,795.35
3.86,2677.84,801.22
3.87,2672.01,807.1
3.89,2657.44,822.77
3.91,2645.78,836.49
3.92,2642.87,838.45
3.94,2639.96,842.36
3.99,2639.96,838.45
4.01,2642.87,834.53
4.02,2654.52,824.73
4.04,2657.44,822.77
4.06,2666.18,814.94
4.07,2669.09,811.02
4.12,2672.01,811.02
4.14,2669.09,812.98
4.16,2666.18,814.94
4.18,2663.27,816.9
4.19,2663.27,818.86
4.28,2666.18,814.94
4.29,2677.84,805.14
4.31,2680.75,803.18
4.32,2680.75,801.22
4.34,2683.66,801.22
4.39,2672.01,811.02
4.41,2663.27,818.86
4.43,2660.35,820.81
4.44,2657.44,824.73
4.46,2654.52,824.73
