time,x,y
0,568.2,997.12
0.1,568.2,993.21
0.12,606.08,934.44
0.13,606.08,940.31
0.15,606.08,957.94
0.17,611.91,997.12
0.18,617.74,1024.55
0.2,626.48,1055.89
0.22,635.22,1077.44
0.23,638.13,1089.2
0.25,643.96,1098.99
0.27,643.96,1104.87
0.28,646.88,1106.83
0.32,646.88,1108.79
0.38,646.88,1102.91
0.4,646.88,1093.11
0.42,646.88,1085.28
0.43,646.88,1077.44
0.45,646.88,1073.52
0.47,646.88,1071.56
0.51,652.7,1077.44
0.53,658.53,1085.28
0.55,667.27,1095.07
0.6,667.27,1083.32
0.62,664.36,1077.44
0.64,658.53,1061.77
0.65,655.62,1053.93
0.67,652.7,1048.06
0.68,652.7,1046.1
0.73,652.7,1051.97
0.75,658.53,1063.73
0.77,664.36,1069.61
0.78,667.27,1077.44
0.8,670.19,1079.4
0.83,670.19,1081.36
0.87,667.27,1075.48
0.88,664.36,1067.65
0.9,658.53,1059.81
0.92,655.62,1050.02
0.93,655.62,1048.06
0.95,655.62,1046.1
1,655.62,1048.06
1.02,661.45,1055.89
1.03,667.27,1063.73
1.05,673.1,1071.56
1.07,678.93,1077.44
1.08,678.93,1079.4
1.1,681.84,1079.4
1.13,681.84,1075.48
1.15,676.01,1063.73
1.17,670.19,1051.97
1.18,667.27,1042.18
1.2,667.27,1030.43
1.22,664.36,1024.55
1.23,664.36,1022.59
1.25,664.36,1020.63
1.29,667.27,1020.63
1.3,681.84,1030.43
1.32,702.24,1048.06
1.33,713.9,1057.85
1.35,719.72,1065.69
1.37,722.64,1067.65
1.38,725.55,1069.61
1.42,719.72,1059.81
1.43,708.07,1046.1
1.45,702.24,1032.38
1.47,696.41,1018.67
1.48,693.5,1012.79
1.5,693.5,1010.84
1.55,699.33,1022.59
1.57,702.24,1030.43
1.58,705.15,1048.06
1.6,708.07,1055.89
1.62,708.07,1059.81
1.65,705.15,1053.93
1.67,702.24,1048.06
1.68,699.33,1030.43
1.7,699.33,1020.63
1.72,699.33,1014.75
1.73,699.33,1012.79
1.77,705.15,1020.63
1.78,713.9,1032.38
1.8,719.72,1042.18
1.82,725.55,1050.02
1.83,728.46,1053.93
1.88,728.46,1040.22
1.9,725.55,1028.47
