time,x,y
0,270.99,1081.36
0.46,270.99,1075.48
0.47,270.99,1065.69
0.49,270.99,1050.02
0.51,270.99,1038.26
0.52,270.99,1024.55
0.54,270.99,1020.63
0.56,270.99,1018.67
0.59,300.13,1014.75
0.61,305.96,1022.59
0.62,317.61,1040.22
0.64,326.35,1053.93
0.66,340.92,1071.56
0.68,343.84,1075.48
0.69,346.75,1077.44
0.71,346.75,1075.48
0.73,346.75,1065.69
0.74,340.92,1053.93
0.76,338.01,1046.1
0.78,335.09,1040.22
0.79,332.18,1038.26
0.81,332.18,1036.3
0.84,332.18,1038.26
0.86,338.01,1046.1
0.87,338.01,1050.02
0.89,343.84,1061.77
0.91,346.75,1063.73
0.93,346.75,1065.69
1.03,343.84,1065.69
1.04,338.01,1063.73
1.06,335.09,1061.77
1.08,329.27,1057.85
1.09,326.35,1057.85
1.11,323.44,1055.89
1.14,320.52,1055.89
1.33,317.61,1053.93
1.34,311.78,1050.02
1.36,300.13,1046.1
1.38,288.47,1042.18
1.39,279.73,1036.3
1.41,270.99,1034.34
1.42,268.07,1034.34
1.44,268.07,1032.38
1.51,270.99,1034.34
1.53,276.82,1038.26
1.54,279.73,1044.14
1.56,282.64,1046.1
1.58,285.56,1046.1
1.59,285.56,1048.06
1.66,282.64,1046.1
1.68,282.64,1044.14
1.69,279.73,1040.22
1.71,279.73,1038.26
1.79,279.73,1040.22
1.81,282.64,1044.14
1.84,282.64,1046.1
1.89,282.64,1044.14
1.91,282.64,1042.18
1.92,282.64,1040.22
1.96,282.64,1038.26
2.01,285.56,1040.22
2.04,294.3,1048.06
2.06,300.13,1050.02
2.08,303.04,1051.97
2.09,303.04,1053.93
2.11,305.96,1055.89
2.18,305.96,1051.97
2.19,305.96,1050.02
2.21,305.96,1046.1
2.23,303.04,1046.1
2.29,305.96,1046.1
2.31,346.75,1057.85
2.33,352.58,1059.81
2.34,372.97,1069.61
2.36,378.8,1073.52
2.38,384.63,1075.48
2.41,387.54,1075.48
2.44,381.72,1071.56
2.46,355.49,1055.89
2.48,332.18,1042.18
2.49,317.61,1030.43
2.51,305.96,1022.59
2.52,300.13,1016.71
2.58,311.78,1030.43
2.59,323.44,1040.22
