speaker,time,talk
Whole Class,388,"Okay, you guys have three minutes. Three minutes. See if you can figure this one out. Three minutes. Okay."
Whole Class,477,I am going to start stamping in about 30 seconds. So I need something written down. Something written down.
Student,484,"H, what's your warmup paper? Put your binder down. Warm up of paper. Okay. Solve it."
Whole Class,513,I need to see something on your paper?
Student,569,"L binder. It's not over there. Get a piece of paper. Blank piece of paper's over there in the, yeah, I got sheet in the thing."
Student,581,"What do you think, M? What's a hamburger?"
Student,595,"Write it down. Write it down. Okay,"
Student,602,Paper over there.
Group,606,"Sorry guys. Oh, I missed your whole table. Did you grab it?"
Student,616,What's the burrito? It's 10?
Student,629,It's five.
Group,630,She thinks it's five.
Whole Class,641,"Okay, let's go over this. Okay, hamburgers, how much are the hamburgers?"
Whole Class,652,"Four each. How so? It's four and four. So the total is eight, right? Eight and eight. So here we have eight and eight. How much is the burrito? 10. Five. Yeah. So two burritos is 10. 10, one burrito is, what's the soup?"
Whole Class,680,"Okay. And this is two burritos. Soup is a and hamburger is eight. No, I messed up. So what's this one is eight, and this is what? Four. So what's the final answer? So eight times four is ... plus 10 ...42. Okay, good. Thank you."
Whole Class,715,"Okay, so we're going to pass out our paper today. I know yesterday we were reviewing linear functions because it's been a while since we did 'em since our break. Okay, you grab, as you get your paper, put your name on it and start reading that first little paragraph about Ms.Woodman and her pool. And circle the important information. So as you get your paper, go ahead and put your name on it and start reading your problem."
Student,771,"I think I gave you an extra one. Just leave it there. Oops. How much did I give you? 1, 2, 3."
Whole Class,782,Does everybody have paper?
Whole Class,800,Okay. So you're reading the problem right now by yourself since circling the important information.
Student,816,"Oh, they're somewhere over there, A. Somewhere over there. Let's throw that in trash. Sure. Let's go this way."
Whole Class,846,"Okay, so you should have circled some important information. Okay? So let's read this together now. So we have Ms. Woodman is filling up a plastic swimming pool in her backyard, okay? So she can throw a pool party. She places a hose in the pool and it starts filling with water at a constant rate of what? What's the constant rate here? ... 20 gallons per what?"
Whole Class,880,Per hour? Minute. So every minute 20 gallons are getting filled in the pool. When is a pool full?
Whole Class,893,"At 300 gallons. Okay. So you have a constant rate of 20 gallons per minute. And the pool is full when it reaches 300 gallons. Okay, so you're going to work well first, does anybody have any questions about this situation? You have a pool with water, right? Water being filled in the water goes in here at 20 gallons per minute. Okay? It's full when it reaches 300. So with your team, I want you to answer questions. Let's do one through four right now. One through four. Okay? So take time, take about seven minutes questions, one through four, and I'll get some of you to do the problems on here. Okay? So work with your teams one through four."
Student,970,"Okay? H, how much water in the pool after five minutes?"
Student,983,Write it down.
Student,990,"Okay, how much water in the pool after five minutes?"
Student,997,Share your work. How'd you get that?
Whole Class,1012,"Make sure you're showing your work for one and two, please."
Student,1017,How'd you get?
Student,1020,"Okay, show your work. Show your work."
Whole Class,1028,"okay, make sure you're showing your work. I see a lot of correct answers, but not work."
Group,1052,"When you guys are done with this one, make sure, because you have same answers, but different ways, okay? To do it. So make sure you compare answers when you're done."
Student,1087,focus
Student,1090,Yep. Check your -- I want to see your work there.
Pair,1109,"What about, okay, for this one, so it says interval 10 or zero to 25. I need to see some lines here. How much water is it going to be in the pool in 20 minutes?"
Pair,1125,But the pool can only hold 300.
Pair,1128,So it'll overflow. So would it just stay?
Student,1139,(checking st paper) No P just 40.
Student,1144,Okay. Same with yours. You want the interval from zero to 25. Right now your interval is from zero to 15.
Student,1157,Is it? Because how much can the pool hold up to three Up to 300. So what's going to happen after it reaches 300? Is it going to go to 301. 302?
Group,1174,"So talk about that when you guys get here. So I know when you get to the graph, I want the graph to go all the way to 25. Okay? She has half of it, correct? I need to see where else does it go? Is it going to decrease in water? No."
Group,1195,What happens? It can't overfill. Okay. Share your answer with your team.
