time,x,y
0,937.9,717.95
1,937.9,717.95
2,937.9,717.95
3,937.9,717.95
4,937.9,717.95
5,937.9,717.95
6,937.9,717.95
7,937.9,717.95
8,937.9,717.95
9,937.9,717.95
10,937.9,717.95
11,937.9,717.95
12,937.9,717.95
13,937.9,717.95
14,937.9,717.95
15,937.9,717.95
16,937.9,717.95
17,937.9,717.95
18,937.9,717.95
19,937.9,717.95
20,937.9,717.95
21,937.9,717.95
22,937.9,717.95
23,937.9,717.95
24,937.9,717.95
25,937.9,717.95
26,937.9,717.95
27,937.9,717.95
28,937.9,717.95
29,937.9,717.95
30,937.9,717.95
31,937.9,717.95
32,937.9,717.95
33,937.9,717.95
34,937.9,717.95
35,937.9,717.95
36,937.9,717.95
37,937.9,717.95
38,937.9,717.95
39,937.9,717.95
40,937.9,717.95
41,937.9,717.95
42,937.9,717.95
43,937.9,717.95
44,937.9,717.95
45,937.9,717.95
46,937.9,717.95
47,937.9,717.95
48,937.9,717.95
49,937.9,717.95
50,937.9,717.95
51,937.9,717.95
52,937.9,717.95
53,937.9,717.95
54,937.9,717.95
55,937.9,717.95
56,937.9,717.95
57,937.9,717.95
58,937.9,717.95
59,937.9,717.95
60,937.9,717.95
61,937.9,717.95
62,937.9,717.95
63,937.9,717.95
64,937.9,717.95
65,937.9,717.95
66,937.9,717.95
67,937.9,717.95
68,937.9,717.95
69,937.9,717.95
70,937.9,717.95
71,937.9,717.95
72,937.9,717.95
73,937.9,717.95
74,937.9,717.95
75,937.9,717.95
76,937.9,717.95
77,937.9,717.95
78,937.9,717.95
79,937.9,717.95
80,937.9,717.95
81,937.9,717.95
82,937.9,717.95
83,937.9,717.95
84,937.9,717.95
85,937.9,717.95
86,937.9,717.95
87,937.9,717.95
88,937.9,717.95
89,937.9,717.95
90,937.9,717.95
91,937.9,717.95
92,937.9,717.95
93,937.9,717.95
94,937.9,717.95
95,937.9,717.95
96,937.9,717.95
97,937.9,717.95
98,937.9,717.95
99,937.9,717.95
100,937.9,717.95
101,937.9,717.95
102,937.9,717.95
103,937.9,717.95
104,937.9,717.95
105,937.9,717.95
106,937.9,717.95
107,937.9,717.95
108,937.9,717.95
109,937.9,717.95
110,937.9,717.95
111,937.9,717.95
112,937.9,717.95
113,937.9,717.95
114,937.9,717.95
115,937.9,717.95
116,937.9,717.95
117,937.9,717.95
118,937.9,717.95
119,937.9,717.95
120,937.9,717.95
121,937.9,717.95
122,937.9,717.95
123,937.9,717.95
124,937.9,717.95
125,937.9,717.95
126,937.9,717.95
127,937.9,717.95
128,937.9,717.95
129,937.9,717.95
130,937.9,717.95
131,937.9,717.95
132,937.9,717.95
133,937.9,717.95
134,937.9,717.95
135,937.9,717.95
136,937.9,717.95
137,937.9,717.95
138,937.9,717.95
139,937.9,717.95
