time,x,y
0.01,1188.84,2798.66
0.51,1188.84,2798.66
0.87,1188.84,2802.84
0.99,1188.84,2807.02
1.51,1188.84,2807.02
2.5,1188.84,2807.02
3.5,1188.84,2807.02
4.5,1188.84,2807.02
5.5,1188.84,2807.02
6.51,1188.84,2807.02
7.51,1188.84,2807.02
8.51,1188.84,2807.02
9.51,1188.84,2807.02
10.5,1188.84,2807.02
11.5,1188.84,2807.02
12.5,1188.84,2807.02
13.52,1188.84,2807.02
14.51,1188.84,2807.02
15.51,1188.84,2807.02
16.51,1188.84,2807.02
17.51,1188.84,2807.02
18.5,1188.84,2807.02
19.5,1188.84,2807.02
20.5,1188.84,2807.02
21.51,1188.84,2807.02
22.51,1188.84,2807.02
23.51,1188.84,2807.02
24.51,1188.84,2807.02
25.5,1188.84,2807.02
26.5,1188.84,2807.02
27.5,1188.84,2807.02
28.52,1188.84,2807.02
29.51,1188.84,2807.02
30.51,1188.84,2807.02
31.51,1188.84,2807.02
32.51,1188.84,2807.02
33.5,1188.84,2807.02
34.5,1188.84,2807.02
35.51,1188.84,2807.02
36.12,1185.64,2807.02
36.51,1185.64,2807.02
37.51,1185.64,2807.02
38.51,1185.64,2807.02
39.51,1185.64,2807.02
40.5,1185.64,2807.02
40.62,1182.43,2807.02
40.85,1182.43,2802.84
41.5,1182.43,2802.84
42.5,1182.43,2802.84
43.52,1182.43,2802.84
44.51,1182.43,2802.84
45.51,1182.43,2802.84
45.9,1179.23,2802.84
45.94,1176.02,2802.84
45.95,1172.82,2802.84
45.97,1169.62,2802.84
46.1,1166.41,2802.84
46.16,1163.21,2802.84
46.17,1160,2802.84
46.19,1153.59,2802.84
46.2,1153.59,2798.66
46.22,1147.18,2798.66
46.23,1143.98,2794.48
46.27,1140.78,2794.48
46.29,1134.37,2794.48
46.31,1131.16,2794.48
46.32,1127.96,2794.48
46.38,1121.55,2794.48
46.39,1118.35,2794.48
46.4,1115.14,2794.48
46.44,1108.73,2794.48
46.45,1105.53,2790.3
46.49,1102.32,2790.3
46.51,1102.32,2790.3
46.57,1095.91,2790.3
46.58,1092.71,2786.12
46.6,1089.51,2786.12
46.62,1083.1,2786.12
46.64,1079.89,2786.12
46.66,1076.69,2786.12
46.7,1073.48,2786.12
