time,speaker,talk
0,Teacher,(inaudible) four. One for each group of four. Okay? Or three. Okay?
6,Teacher,"Okay guys, let's get started here. Okay, listen closely."
11,Teacher,To save a little time I won't bring out my overhead like you're usually accustomed to.
14,New student,Dear...
15,New student,Thank you.
16,Teacher,"Okay? Instead, let me just tell you."
19,Teacher,What I'm going to give you for each group is a little three-page packet. Okay?
26,Teacher,"What I need for you to do right now is, every one of you get out a blank sheet of paper. Every one of you needs a blank sheet of paper."
35,New student,Thank you.
38,Single student,"Ashley, can I have a piece of paper?"
41,Teacher,"Just put it right on the table back there, (inaudible)."
43,Single student,Thank you.
58,Teacher,"Thank you Sarah. Don't leave without it, all right."
61,New student,"Oh, (inaudible)."
62,Teacher,Okay. Now- Here you go.
71,Teacher,All right.
73,Teacher,"Okay, so... listen closely now. Everybody ready?"
78,Single student,Yep.
80,Teacher,"Okay, everybody within your group of four or three, you need to work together. I know normally we work in pairs."
87,Teacher,Okay? But I figured today you have another pair of students-
93,Teacher,"You know, a couple of extra brains there to help you get through this little lesson. Okay? We've done this plenty of times before."
101,Teacher,"Some of you honestly are still a little shaky. So, if you look at the packet which you are all sharing as a group-"
109,Teacher,"Page one has five equations I want you to graph. Now you can graph it any way that you know how to do it, as long as you do it correctly."
120,Teacher,Can someone raise their hand and tell me what's one obvious thing that I can do to graph? Nick?
124,New student,The slope.
125,Teacher,Use the slope with the?
127,New student,Y intercept and X intercept.
128,Teacher,"Y intercept. Right? That's probably the way you'll probably want to do it, right Nick?"
131,Single student,Yeah.
132,Teacher,"Is there another way, though? Robert?"
135,New student,"Use the, um, tables."
136,Teacher,"Right, to make a table for the equation, right? And then plot the points from the table. Everyone got that?"
141,Teacher,"So those are the two main ways, right, we can graph those equations? So right now I need you to get started."
147,Teacher,"The key thing is when you're done with the first five, the first page, as noted on the paper, please make sure I check to make-"
155,Teacher,Make sure you did it right before you move on. Okay? So go ahead and get started.
162,Teacher,"Nick, question?"
163,New student,"Where's the... oh, right here?"
164,Teacher,Yeah. You're going to graph on that. That is your result for your group.
168,Single student,"So everybody has to do one graph, right?"
169,Teacher,Right.
170,Teacher,So someone here can assign themselves as the grapher or whatever.
174,Teacher,"The rest of you kind of work together to make sure it's accurate. Okay? You going to do it? Good job, Nick."
181,Teacher,Yes?
183,Teacher,"All right, the grid paper- All right, you know what? Hey, listen up real quick."
187,Teacher,"Five, four, three, two, one, zero. I probably forgot 'cause I'm still a little nervous. Okay?"
194,Teacher,"But the grid paper, you have one per group. Right?"
199,Teacher,So I'm relying on one of you in that group to be the designated grapher for the group.
205,Teacher,"But the rest of you please help out- you know, help each other. Get the graphs done correctly. Okay?"
215,Teacher,"There you go, Robert. So while he's doing that, let's get started on this, guys. What are we going to do?"
219,New student,Do we write this on our piece of paper?
220,Teacher,Yeah.
221,Single student,"Oh, okay."
222,Teacher,"All right? This is actually the- use the ruler, Robert. Use the ruler man. Make it neat. All right?"
228,New student,"Mr. Ormsby, you know, when you put, like, a one in here, would you go like, times-"
233,Teacher,"Ah, see, so now you've already forgotten, right? First of all zeros are our favorite number, right?"
238,Single student,Yeah.
239,Teacher,You put in zero. Two-thirds times zero is what?
242,Single student,Zero.
243,Teacher,Plus eight is?
244,Single student,Eight.
245,Teacher,"Eight. Now because this fraction is a two-thirds, do you remember what I told you what numbers you should pick now?"
251,Single student,"Um, threes."
253,Teacher,"All right. So maybe zero, three and six would be good numbers to try with this one, right?"
258,Teacher,That way you don't have to worry about fractions and mixed numbers.
259,Single student,Okay.
260,Teacher,Okay? All right.
262,New student,"Mr. Ormsby, whoo-hoo. Okay. Mister, I forgot how to do these again. Like how do you do X and Y?"
269,Teacher,"Okay, so now wait a minute. You want to make a table then, right? So you're going to make an X Y table, okay?"
276,Teacher,"Now... the idea again is, to make our points we just pick any number we want for X."
